rank,name,nationality,team,points,rider_url
247,ADRIÀ Roger,ES,Red Bull - BORA - hansgrohe,158.0,https://www.procyclingstats.com/rider/roger-adria
248,PARRA José Félix,ES,Equipo Kern Pharma,158.0,https://www.procyclingstats.com/rider/jose-felix-parra
249,HOWSON Damien,AU,Q36.5 Pro Cycling Team,157.0,https://www.procyclingstats.com/rider/damien-howson
250,MARCELLUSI Martin,IT,VF Group - Bardiani CSF - Faizanè,157.0,https://www.procyclingstats.com/rider/martin-marcellusi
251,FOSS Tobias,NO,INEOS Grenadiers,157.0,https://www.procyclingstats.com/rider/tobias-foss
252,PEDERSEN Casper,DK,Soudal Quick-Step,156.0,https://www.procyclingstats.com/rider/casper-pedersen
253,TEUNS Dylan,BE,Cofidis,156.0,https://www.procyclingstats.com/rider/dylan-teuns
254,ARRIETA Igor,ES,UAE Team Emirates - XRG,156.0,https://www.procyclingstats.com/rider/igor-arrieta-lizarraga
255,EIKING Odd Christian,NO,Unibet Tietema Rockets,156.0,https://www.procyclingstats.com/rider/odd-christian-eiking
256,HODEG Álvaro José,CO,Team Medellín - EPM,156.0,https://www.procyclingstats.com/rider/alvaro-jose-hodeg
257,MAJKA Rafał,PL,UAE Team Emirates - XRG,155.0,https://www.procyclingstats.com/rider/rafal-majka
258,HOLTER Ådne,NO,Uno-X Mobility,155.0,https://www.procyclingstats.com/rider/adne-holter
259,RAILEANU Cristian,RO,Li Ning Star,155.0,https://www.procyclingstats.com/rider/cristian-raileanu
260,RAJOVIĆ Dušan,RS,Team Solution Tech - Vini Fantini,153.0,https://www.procyclingstats.com/rider/dusan-rajovic
261,LYU Xianjing,CN,China Anta - Mentech Cycling Team,153.0,https://www.procyclingstats.com/rider/xianjing-lyu
262,BOGUSŁAWSKI Marceli,PL,ATT Investments,153.0,https://www.procyclingstats.com/rider/marceli-boguslawski
263,CAPIOT Amaury,BE,Arkéa - B&B Hotels,151.0,https://www.procyclingstats.com/rider/amaury-capiot
264,ACKERMANN Pascal,DE,Israel - Premier Tech,150.0,https://www.procyclingstats.com/rider/pascal-ackermann
265,MOLENAAR Alex,NL,Caja Rural - Seguros RGA,149.0,https://www.procyclingstats.com/rider/alex-molenaar
266,SCHIFFER Anton,DE,BIKE AID,148.0,https://www.procyclingstats.com/rider/anton-schiffer
267,PEÑALVER Manuel,ES,Team Polti VisitMalta,147.0,https://www.procyclingstats.com/rider/manuel-penalver
268,OMRZEL Jakob,SI,Bahrain Victorious Development Team,146.0,https://www.procyclingstats.com/rider/jakob-omrzel
269,CHAWCHIANGKWANG Peerapol,TH,Thailand Continental Cycling Team,145.0,https://www.procyclingstats.com/rider/peerapol-chawchiangkwang
270,OLIVEIRA Ivo,PT,UAE Team Emirates - XRG,143.0,https://www.procyclingstats.com/rider/ivo-emanuel-alves
271,CEPEDA Jefferson Alveiro,EC,Movistar Team,141.0,https://www.procyclingstats.com/rider/jefferson-cepeda-hernandez
272,SKUJIŅŠ Toms,LV,Lidl - Trek,141.0,https://www.procyclingstats.com/rider/toms-skujins
273,MOZZATO Luca,IT,Arkéa - B&B Hotels,141.0,https://www.procyclingstats.com/rider/luca-mozzato
274,BARGUIL Warren,FR,Team Picnic PostNL,140.0,https://www.procyclingstats.com/rider/warren-barguil
275,MARTINEZ Juan Guillermo,CO,Team Picnic PostNL,140.0,https://www.procyclingstats.com/rider/guillermo-juan-martinez
276,CATTANEO Mattia,IT,Soudal Quick-Step,139.0,https://www.procyclingstats.com/rider/mattia-cattaneo
277,ZIJLAARD Maikel,NL,Tudor Pro Cycling Team,138.0,https://www.procyclingstats.com/rider/maikel-zijlaard
278,ASGREEN Kasper,DK,EF Education - EasyPost,138.0,https://www.procyclingstats.com/rider/kasper-asgreen
279,SVESTAD-BÅRDSENG Embret,NO,Arkéa - B&B Hotels,137.0,https://www.procyclingstats.com/rider/embret-svestad-bardseng
280,GARCÍA PIERNA Raúl,ES,Arkéa - B&B Hotels,137.0,https://www.procyclingstats.com/rider/raul-garcia-pierna
281,COBO Iván,ES,Equipo Kern Pharma,137.0,https://www.procyclingstats.com/rider/ivan-cobo-cayon
282,GUERREIRO Ruben,PT,Movistar Team,137.0,https://www.procyclingstats.com/rider/ruben-guerreiro
283,BUCHMANN Emanuel,DE,Cofidis,136.0,https://www.procyclingstats.com/rider/emanuel-buchmann
284,BUDZIŃSKI Marcin,PL,ATT Investments,135.0,https://www.procyclingstats.com/rider/marcin-budzinski
285,RUTSCH Jonas,DE,Intermarché - Wanty,134.0,https://www.procyclingstats.com/rider/jonas-rutsch
286,KÄMNA Lennard,DE,Lidl - Trek,134.0,https://www.procyclingstats.com/rider/lennard-kamna
287,HERRADA Jesús,ES,Cofidis,132.0,https://www.procyclingstats.com/rider/jesus-herrada-lopez
288,TURNER Ben,GB,INEOS Grenadiers,132.0,https://www.procyclingstats.com/rider/ben-turner
289,WOODS Michael,CA,Israel - Premier Tech,131.0,https://www.procyclingstats.com/rider/michael-woods
290,PRADES Eduard,ES,Caja Rural - Seguros RGA,131.0,https://www.procyclingstats.com/rider/eduard-prades
291,ALLEGAERT Piet,BE,Cofidis,131.0,https://www.procyclingstats.com/rider/piet-allegaert
292,DE BOD Stefan,ZA,Terengganu Cycling Team,130.0,https://www.procyclingstats.com/rider/stefan-de-bod
293,GENIETS Kevin,LU,Groupama - FDJ,129.0,https://www.procyclingstats.com/rider/kevin-geniets
294,NORDHAGEN Jørgen,NO,Team Visma | Lease a Bike,129.0,https://www.procyclingstats.com/rider/jorgen-nordhagen
295,WANDAHL Frederik,DK,Red Bull - BORA - hansgrohe,128.0,https://www.procyclingstats.com/rider/frederik-wandahl
296,TOWNSEND Rory,IE,Q36.5 Pro Cycling Team,128.0,https://www.procyclingstats.com/rider/rory-townsend
297,SPARFEL Aubin,FR,Decathlon AG2R La Mondiale Development Team,128.0,https://www.procyclingstats.com/rider/aubin-sparfel
298,CHUMIL Sergio Geovani,GT,Burgos Burpellet BH,127.0,https://www.procyclingstats.com/rider/sergio-geovani-chumil-gonzalez
299,JUARISTI Txomin,ES,Euskaltel - Euskadi,127.0,https://www.procyclingstats.com/rider/txomin-juaristi
300,STAUNE-MITTET Johannes,NO,Decathlon AG2R La Mondiale Team,127.0,https://www.procyclingstats.com/rider/johannes-staune-mittet
301,NIZZOLO Giacomo,IT,Q36.5 Pro Cycling Team,126.0,https://www.procyclingstats.com/rider/giacomo-nizzolo
302,MOHORIČ Matej,SI,Bahrain - Victorious,126.0,https://www.procyclingstats.com/rider/matej-mohoric
303,WIDAR Jarno,BE,Lotto Development Team,125.0,https://www.procyclingstats.com/rider/jarno-widar
304,DE GENDT Aimé,BE,Cofidis,125.0,https://www.procyclingstats.com/rider/aime-de-gendt
305,KELDERMAN Wilco,NL,Team Visma | Lease a Bike,125.0,https://www.procyclingstats.com/rider/wilco-kelderman
306,DONOVAN Mark,GB,Q36.5 Pro Cycling Team,124.0,https://www.procyclingstats.com/rider/mark-donovan
307,LEITÃO Iúri,PT,Caja Rural - Seguros RGA,122.0,https://www.procyclingstats.com/rider/iuri-leitao
308,OLDANI Stefano,IT,Cofidis,122.0,https://www.procyclingstats.com/rider/stefano-oldani
309,LUTSENKO Alexey,KZ,Israel - Premier Tech,120.0,https://www.procyclingstats.com/rider/aleksey-lutsenko
310,PEÑA Jesús David,CO,APHotels & Resorts / Tavira / SC Farense,120.0,https://www.procyclingstats.com/rider/jesus-david-pena-jimenez
311,LØLAND Sakarias Koller,NO,Uno-X Mobility,120.0,https://www.procyclingstats.com/rider/sakarias-koller-loland
312,SAFARZADEH Saeid,IR,Tianyoude Hotel Cycling Team,120.0,https://www.procyclingstats.com/rider/saeid-safarzadeh
313,SANDER HANSEN Marcus,DK,BHS - PL Beton Bornholm,120.0,https://www.procyclingstats.com/rider/marcus-sander-hansen
314,CHAVES Esteban,CO,EF Education - EasyPost,119.0,https://www.procyclingstats.com/rider/johan-esteban-chaves
315,BUSATTO Francesco,IT,Intermarché - Wanty,119.0,https://www.procyclingstats.com/rider/francesco-busatto
316,SAINBAYAR Jambaljamts,MN,Burgos Burpellet BH,118.0,https://www.procyclingstats.com/rider/jambaljamts-sainbayar
317,RUSSO Clément,FR,Groupama - FDJ,117.0,https://www.procyclingstats.com/rider/clement-russo
318,VERONA Carlos,ES,Lidl - Trek,117.0,https://www.procyclingstats.com/rider/carlos-verona
319,BALDERSTONE Abel,ES,Caja Rural - Seguros RGA,117.0,https://www.procyclingstats.com/rider/abel-balderstone-roumens
320,IRIBAR Unai,ES,Equipo Kern Pharma,116.0,https://www.procyclingstats.com/rider/unai-iribar-jauregi
321,MAESTRI Mirco,IT,Team Polti VisitMalta,116.0,https://www.procyclingstats.com/rider/mirco-maestri
322,ZINGLE Axel,FR,Team Visma | Lease a Bike,116.0,https://www.procyclingstats.com/rider/axel-zingle
323,BARTA Will,US,Movistar Team,115.0,https://www.procyclingstats.com/rider/william-barta
324,COSTIOU Ewen,FR,Arkéa - B&B Hotels,115.0,https://www.procyclingstats.com/rider/ewen-costiou
325,MEINTJES Louis,ZA,Intermarché - Wanty,115.0,https://www.procyclingstats.com/rider/louis-meintjes
326,MAYRHOFER Marius,DE,Tudor Pro Cycling Team,114.0,https://www.procyclingstats.com/rider/marius-mayrhofer
327,STEINHAUSER Georg,DE,EF Education - EasyPost,113.0,https://www.procyclingstats.com/rider/georg-steinhauser
328,SMITH Dion,NZ,Intermarché - Wanty,112.0,https://www.procyclingstats.com/rider/dion-smith
329,HAGENES Per Strand,NO,Team Visma | Lease a Bike,112.0,https://www.procyclingstats.com/rider/per-strand-hagenes
330,MARTÍNEZ Daniel Felipe,CO,Red Bull - BORA - hansgrohe,112.0,https://www.procyclingstats.com/rider/daniel-felipe-martinez
331,KWIATKOWSKI Michał,PL,INEOS Grenadiers,111.0,https://www.procyclingstats.com/rider/michal-kwiatkowski
332,PINARELLO Alessandro,IT,VF Group - Bardiani CSF - Faizanè,111.0,https://www.procyclingstats.com/rider/alessandro-pinarello
333,PAGE Hugo,FR,Intermarché - Wanty,110.0,https://www.procyclingstats.com/rider/hugo-page
334,UHLIG Henri,DE,Alpecin - Deceuninck,109.0,https://www.procyclingstats.com/rider/henri-uhlig
335,GLOAG Thomas,GB,Team Visma | Lease a Bike,109.0,https://www.procyclingstats.com/rider/thomas-gloag
336,TSVETKOV Nikita,UZ,OU7 Cycling Team,109.0,https://www.procyclingstats.com/rider/nikita-tsvetkov
337,THIJSSEN Gerben,BE,Intermarché - Wanty,109.0,https://www.procyclingstats.com/rider/gerben-thijssen
338,HALLER Marco,AT,Tudor Pro Cycling Team,108.0,https://www.procyclingstats.com/rider/marco-haller
339,PACHER Quentin,FR,Groupama - FDJ,107.0,https://www.procyclingstats.com/rider/quentin-pacher
340,CÔTÉ Pier-André,CA,Israel - Premier Tech,107.0,https://www.procyclingstats.com/rider/pier-andre-cote
341,PEÑUELA Francisco Joel,VE,Caja Rural - Seguros RGA,107.0,https://www.procyclingstats.com/rider/francisco-penuela
342,BREGNHØJ Mathias,DK,Terengganu Cycling Team,107.0,https://www.procyclingstats.com/rider/mathias-bregnhoj
343,VAN DIJKE Mick,NL,Red Bull - BORA - hansgrohe,107.0,https://www.procyclingstats.com/rider/mick-van-dijke
344,BERASATEGI Xabier,ES,Euskaltel - Euskadi,106.0,https://www.procyclingstats.com/rider/xabier-berasategi-garmendia
345,CHIA Luis Carlos,CO,,105.0,https://www.procyclingstats.com/rider/luis-carlos-chia-bermudez
346,FORMOLO Davide,IT,Movistar Team,104.0,https://www.procyclingstats.com/rider/davide-formolo
347,HAMZA Yacine,DZ,Madar Pro Cycling Team,104.0,https://www.procyclingstats.com/rider/yacine-hamza
348,KEPPLINGER Rainer,AT,Bahrain - Victorious,104.0,https://www.procyclingstats.com/rider/rainer-kepplinger
349,VALTER Attila,HU,Team Visma | Lease a Bike,104.0,https://www.procyclingstats.com/rider/attila-valter
350,BERRADE Urko,ES,Equipo Kern Pharma,103.0,https://www.procyclingstats.com/rider/urko-berrade-fernandez
351,ARASHIRO Yukiya,JP,Team Solution Tech - Vini Fantini,103.0,https://www.procyclingstats.com/rider/yukiya-arashiro
352,QUINTANA Nairo,CO,Movistar Team,103.0,https://www.procyclingstats.com/rider/nairo-quintana
353,VAN BOVEN Luca,BE,Intermarché - Wanty,103.0,https://www.procyclingstats.com/rider/luca-van-boven
354,HAJEK Alexander,AT,Red Bull - BORA - hansgrohe,103.0,https://www.procyclingstats.com/rider/alexander-hajek
355,VLASOV Aleksandr,RU,Red Bull - BORA - hansgrohe,102.0,https://www.procyclingstats.com/rider/aleksandr-vlasov
356,RUIZ Ibon,ES,Equipo Kern Pharma,102.0,https://www.procyclingstats.com/rider/ibon-ruiz
357,BRAZ AFONSO Clément,FR,Groupama - FDJ,102.0,https://www.procyclingstats.com/rider/clement-braz-afonso
358,PEDERSEN Rasmus Søjberg,DK,Decathlon AG2R La Mondiale Team,101.0,https://www.procyclingstats.com/rider/rasmus-sojbergpedersen
359,BRAET Vito,BE,Intermarché - Wanty,101.0,https://www.procyclingstats.com/rider/vito-braet
360,BRENES Sebastian,CR,Canel's - Java,100.0,https://www.procyclingstats.com/rider/sebastian-brenes
361,CONCI Nicola,IT,XDS Astana Team,99.0,https://www.procyclingstats.com/rider/nicola-conci
362,CEPEDA Jefferson Alexander,EC,EF Education - EasyPost,99.0,https://www.procyclingstats.com/rider/jefferson-alexander-cepeda
363,KRETSCHY Moritz,DE,Israel Premier Tech Academy,98.0,https://www.procyclingstats.com/rider/moritz-kretschy
364,AFFINI Edoardo,IT,Team Visma | Lease a Bike,98.0,https://www.procyclingstats.com/rider/edoardo-affini
365,GEENS Jonas,BE,Team Flanders - Baloise,98.0,https://www.procyclingstats.com/rider/jonas-geens
366,KUZMIN Anton,KZ,XDS Astana Team,97.0,https://www.procyclingstats.com/rider/anton-kuzmin
367,LEMMEN Bart,NL,Team Visma | Lease a Bike,97.0,https://www.procyclingstats.com/rider/bart-lemmen
368,SHAW James,GB,EF Education - EasyPost,97.0,https://www.procyclingstats.com/rider/james-shaw
369,VANHOUCKE Harm,BE,Q36.5 Pro Cycling Team,97.0,https://www.procyclingstats.com/rider/harm-vanhoucke
370,ARTZ Huub,NL,Intermarché - Wanty,97.0,https://www.procyclingstats.com/rider/huub-artz
371,FERRON Valentin,FR,Cofidis,96.0,https://www.procyclingstats.com/rider/valentin-ferron
372,BRUNEL Alexys,FR,Team TotalEnergies,95.0,https://www.procyclingstats.com/rider/alexys-brunel
373,TURCONI Filippo,IT,VF Group - Bardiani CSF - Faizanè,95.0,https://www.procyclingstats.com/rider/filippo-turconi
374,ZERAY Nahom,ER,JCL Team UKYO,94.0,https://www.procyclingstats.com/rider/nahom-zeray-araya
375,LÓPEZ Jordi,ES,Euskaltel - Euskadi,94.0,https://www.procyclingstats.com/rider/jordi-lopez-caravaca
376,PITA Cristian David,EC,Huansheng - Vonoa - Taishan Sport Team,94.0,https://www.procyclingstats.com/rider/cristian-david-pita
377,BENNETT George,NZ,Israel - Premier Tech,93.0,https://www.procyclingstats.com/rider/george-bennett
378,HABTEAB Yoel,ER,BIKE AID,93.0,https://www.procyclingstats.com/rider/yoel-habteab
379,VAN ASBROECK Tom,BE,Israel - Premier Tech,93.0,https://www.procyclingstats.com/rider/tom-van-asbroeck
380,BAUDIN Alex,FR,EF Education - EasyPost,93.0,https://www.procyclingstats.com/rider/alex-baudin
381,TORRES Pablo,ES,UAE Team Emirates - XRG,92.0,https://www.procyclingstats.com/rider/pablo-torres-arias
382,DAUPHIN Florian,FR,Team TotalEnergies,92.0,https://www.procyclingstats.com/rider/florian-dauphin
383,FANCELLU Alessandro,IT,JCL Team UKYO,92.0,https://www.procyclingstats.com/rider/alessandro-fancellu
384,SWIFT Ben,GB,INEOS Grenadiers,91.0,https://www.procyclingstats.com/rider/ben-swift
385,DE PRETTO Davide,IT,Team Jayco AlUla,91.0,https://www.procyclingstats.com/rider/davide-de-pretto
386,EINHORN Itamar,IL,Israel - Premier Tech,91.0,https://www.procyclingstats.com/rider/itamar-einhorn
387,KNOX James,GB,Soudal Quick-Step,90.0,https://www.procyclingstats.com/rider/james-knox
388,HAIG Jack,AU,Bahrain - Victorious,90.0,https://www.procyclingstats.com/rider/jack-haig
389,NAESEN Oliver,BE,Decathlon AG2R La Mondiale Team,90.0,https://www.procyclingstats.com/rider/oliver-naesen
390,PLANCKAERT Edward,BE,Alpecin - Deceuninck,90.0,https://www.procyclingstats.com/rider/edward-planckaert
391,PELLAUD Simon,CH,Li Ning Star,90.0,https://www.procyclingstats.com/rider/simon-pellaud
392,PICKRELL Riley,CA,Israel - Premier Tech,90.0,https://www.procyclingstats.com/rider/riley-pickrell
393,MONIQUET Sylvain,BE,Cofidis,90.0,https://www.procyclingstats.com/rider/sylvain-moniquet
394,PERICAS Adrià,ES,UAE Team Emirates Gen Z,89.0,https://www.procyclingstats.com/rider/adria-pericas-capdevila
395,BATSAIKHAN Tegsh-Bayar,MN,Roojai Insurance,89.0,https://www.procyclingstats.com/rider/tegsh-bayar-batsaikhan
396,HONORÉ Mikkel Frølich,DK,EF Education - EasyPost,89.0,https://www.procyclingstats.com/rider/mikkel-honore
397,COLNAGHI Luca,IT,VF Group - Bardiani CSF - Faizanè,89.0,https://www.procyclingstats.com/rider/luca-colnaghi
398,GÓMEZ Germán Darío,CO,Team Polti VisitMalta,89.0,https://www.procyclingstats.com/rider/german-dario-gomez
399,BETTIOL Alberto,IT,XDS Astana Team,88.0,https://www.procyclingstats.com/rider/alberto-bettiol
400,ZANONCELLO Enrico,IT,VF Group - Bardiani CSF - Faizanè,88.0,https://www.procyclingstats.com/rider/enrico-zanoncello
401,ANDERSEN Mads,DK,AIRTOX - Carl Ras,88.0,https://www.procyclingstats.com/rider/mads-andersen
402,SWIFT Connor,GB,INEOS Grenadiers,87.0,https://www.procyclingstats.com/rider/connor-swift
403,BOMBOI Davide,BE,Unibet Tietema Rockets,87.0,https://www.procyclingstats.com/rider/davide-bomboi
404,NOVÁK Pavel,CZ,MBH Bank Ballan CSB,87.0,https://www.procyclingstats.com/rider/pavel-novak
405,GOVEKAR Matevž,SI,Bahrain - Victorious,86.0,https://www.procyclingstats.com/rider/matevz-govekar
406,MATTHEIS Oliver,DE,BIKE AID,86.0,https://www.procyclingstats.com/rider/oliver-mattheis
407,VAN DIJKE Tim,NL,Red Bull - BORA - hansgrohe,86.0,https://www.procyclingstats.com/rider/tim-van-dijke
408,VERRE Alessandro,IT,Arkéa - B&B Hotels,85.0,https://www.procyclingstats.com/rider/alessandro-verre
409,BAIS Davide,IT,Team Polti VisitMalta,85.0,https://www.procyclingstats.com/rider/davide-bais
410,HOPKINS Dylan,AU,Roojai Insurance,85.0,https://www.procyclingstats.com/rider/dylan-hopkins
411,FINN Lorenzo,IT,Red Bull - BORA - hansgrohe Rookies,85.0,https://www.procyclingstats.com/rider/lorenzo-finn
412,LABROSSE Jordan,FR,Decathlon AG2R La Mondiale Team,84.0,https://www.procyclingstats.com/rider/jordan-labrosse
413,MARTÍN Gotzon,ES,Euskaltel - Euskadi,84.0,https://www.procyclingstats.com/rider/gotzon-martin
414,ENGELHARDT Felix,DE,Team Jayco AlUla,83.0,https://www.procyclingstats.com/rider/felix-engelhardt
415,FELDHOFFER Bálint,HU,Team United Shipping,83.0,https://www.procyclingstats.com/rider/balint-feldhoffer
416,KOERDT Bjorn,GB,Team Picnic PostNL,82.0,https://www.procyclingstats.com/rider/bjoern-koerdt
417,MINTEGI Iker,ES,Euskaltel - Euskadi,81.0,https://www.procyclingstats.com/rider/iker-mintegi-claver
418,KOISHI Yuma,JP,JCL Team UKYO,81.0,https://www.procyclingstats.com/rider/yuma-koishi
419,GAROFOLI Gianmarco,IT,Soudal Quick-Step,81.0,https://www.procyclingstats.com/rider/gianmarco-garofoli
420,VERGALLITO Luca,IT,Alpecin - Deceuninck,81.0,https://www.procyclingstats.com/rider/luca-vergallito
421,VIVIANI Elia,IT,Lotto,81.0,https://www.procyclingstats.com/rider/elia-viviani
422,TOLIO Alex,IT,VF Group - Bardiani CSF - Faizanè,81.0,https://www.procyclingstats.com/rider/alex-tolio
423,KENCH Josh,NZ,Li Ning Star,80.0,https://www.procyclingstats.com/rider/josh-kench
424,TOUZÉ Damien,FR,Cofidis,80.0,https://www.procyclingstats.com/rider/damien-touze
425,IZQUIERDO Clément,FR,Cofidis,80.0,https://www.procyclingstats.com/rider/clement-izquierdo
426,LIENHARD Fabian,CH,Tudor Pro Cycling Team,80.0,https://www.procyclingstats.com/rider/fabian-lienhard
427,DELBOVE Joris,FR,Team TotalEnergies,80.0,https://www.procyclingstats.com/rider/joris-delbove
428,RACCANI Simone,IT,JCL Team UKYO,80.0,https://www.procyclingstats.com/rider/simone-raccani
429,MAGLI Filippo,IT,VF Group - Bardiani CSF - Faizanè,80.0,https://www.procyclingstats.com/rider/filippo-magli2
430,SCHWARZBACHER Matthias,SK,UAE Team Emirates Gen Z,79.0,https://www.procyclingstats.com/rider/matthias-schwarzbacher
431,WALSCHEID Max,DE,Team Jayco AlUla,78.0,https://www.procyclingstats.com/rider/max-walscheid
432,RIKUNOV Petr,RU,Chengdu DYC Cycling Team,78.0,https://www.procyclingstats.com/rider/petr-rikunov
433,ZANA Filippo,IT,Team Jayco AlUla,77.0,https://www.procyclingstats.com/rider/filippo-zana
434,UIJTDEBROEKS Cian,BE,Team Visma | Lease a Bike,77.0,https://www.procyclingstats.com/rider/cian-uijtdebroeks
435,DOUBLE Paul,GB,Team Jayco AlUla,77.0,https://www.procyclingstats.com/rider/paul-double
436,LAMPAERT Yves,BE,Soudal Quick-Step,77.0,https://www.procyclingstats.com/rider/yves-lampaert
437,HERZOG Emil,DE,Red Bull - BORA - hansgrohe,77.0,https://www.procyclingstats.com/rider/emil-herzog
438,HUERTAS Jason Andrey,CR,Lasal Cocinas - Craega,77.0,https://www.procyclingstats.com/rider/jason-huertas
439,CORKERY Dillon,IE,St Michel - Preference Home - Auber93,76.0,https://www.procyclingstats.com/rider/dillon-corkery
440,SYRITSA Gleb,RU,XDS Astana Development Team,75.0,https://www.procyclingstats.com/rider/gleb-syritsa
441,VAHTRA Norman,EE,China Anta - Mentech Cycling Team,75.0,https://www.procyclingstats.com/rider/norman-vahtra
442,CHARMIG Anthon,DK,XDS Astana Team,74.0,https://www.procyclingstats.com/rider/anthon-charmig
443,GACHIGNARD Thomas,FR,Team TotalEnergies,74.0,https://www.procyclingstats.com/rider/thomas-gachignard
444,ROMELE Alessandro,IT,XDS Astana Team,74.0,https://www.procyclingstats.com/rider/alessandro-romele
445,BALLABIO Giacomo,IT,Hrinkow Advarics,74.0,https://www.procyclingstats.com/rider/giacomo-ballabio
446,HOBBS Noah,GB,EF Education - Aevolo,74.0,https://www.procyclingstats.com/rider/noah-hobbs
447,ALEOTTI Giovanni,IT,Red Bull - BORA - hansgrohe,73.0,https://www.procyclingstats.com/rider/giovanni-aleotti
448,YEMANE Dawit,ER,BIKE AID,73.0,https://www.procyclingstats.com/rider/dawit-yemane
449,PLOWRIGHT Jensen,AU,Alpecin - Deceuninck,73.0,https://www.procyclingstats.com/rider/jensen-plowright
450,DE LA CALLE Hugo,ES,Burgos Burpellet BH,72.0,https://www.procyclingstats.com/rider/hugo-de-la-calle-arango
451,DE SCHUYTENEER Steffen,BE,Lotto,72.0,https://www.procyclingstats.com/rider/steffen-de-schuyteneer
452,SCOTSON Callum,AU,Decathlon AG2R La Mondiale Team,72.0,https://www.procyclingstats.com/rider/callum-scotson
453,VAN DEN BOSSCHE Fabio,BE,Alpecin - Deceuninck,71.0,https://www.procyclingstats.com/rider/fabio-van-den-bossche
454,NICOLAU Joel,ES,Caja Rural - Seguros RGA,71.0,https://www.procyclingstats.com/rider/joel-nicolau
455,KOGUT Oded,IL,Israel - Premier Tech,71.0,https://www.procyclingstats.com/rider/oded-kogut
456,HUENS Axel,FR,Unibet Tietema Rockets,71.0,https://www.procyclingstats.com/rider/axel-huens
457,PONOMAR Andrii,UA,Petrolike,70.0,https://www.procyclingstats.com/rider/andrii-ponomar
458,ARMIRAIL Bruno,FR,Decathlon AG2R La Mondiale Team,70.0,https://www.procyclingstats.com/rider/bruno-armirail
459,GUALDI Simone,IT,Wanty - Nippo - ReUz,70.0,https://www.procyclingstats.com/rider/simone-gualdi
460,HOULE Hugo,CA,Israel - Premier Tech,70.0,https://www.procyclingstats.com/rider/hugo-houle
461,HENNEQUIN Paul,FR,Euskaltel - Euskadi,70.0,https://www.procyclingstats.com/rider/paul-hennequin
462,EWAN Caleb,AU,,70.0,https://www.procyclingstats.com/rider/caleb-ewan
463,VAN BAARLE Dylan,NL,Team Visma | Lease a Bike,69.0,https://www.procyclingstats.com/rider/dylan-van-baarle
464,WALLS Matthew,GB,Groupama - FDJ,68.0,https://www.procyclingstats.com/rider/matthew-walls
465,TESFATSION Natnael,ER,Movistar Team,68.0,https://www.procyclingstats.com/rider/natnael-tesfatsion
466,AGIRRE Jon,ES,Euskaltel - Euskadi,67.0,https://www.procyclingstats.com/rider/jon-agirre
467,VARGAS Walter,CO,Team Medellín - EPM,67.0,https://www.procyclingstats.com/rider/walter-vargas
468,RIVERA Brandon Smith,CO,INEOS Grenadiers,67.0,https://www.procyclingstats.com/rider/brandon-smith-rivera-vargas
469,GIDICH Yevgeniy,KZ,China Anta - Mentech Cycling Team,67.0,https://www.procyclingstats.com/rider/yevgeniy-gidich
470,LOUVEL Matis,FR,Israel - Premier Tech,67.0,https://www.procyclingstats.com/rider/matis-louvel
471,ABRAHAMSEN Jonas,NO,Uno-X Mobility,67.0,https://www.procyclingstats.com/rider/jonas-abrahamsen
472,HEPBURN Michael,AU,Team Jayco AlUla,66.0,https://www.procyclingstats.com/rider/michael-hepburn
473,WRIGHT Paul,NZ,Factor Racing,66.0,https://www.procyclingstats.com/rider/paul-wright
474,FOLDAGER Anders,DK,Team Jayco AlUla,66.0,https://www.procyclingstats.com/rider/anders-foldager
475,CAVIA Daniel,ES,Burgos Burpellet BH,66.0,https://www.procyclingstats.com/rider/daniel-cavia-sanz
476,VAN MECHELEN Vlad,BE,Bahrain - Victorious,66.0,https://www.procyclingstats.com/rider/vlad-van-mechelen
477,ARVANITOU Nikiforos,GR,Novapor Theseus SportsClub,66.0,https://www.procyclingstats.com/rider/nikiforos-arvanitou
478,MOLLEMA Bauke,NL,Lidl - Trek,65.0,https://www.procyclingstats.com/rider/bauke-mollema
479,GRUZDEV Dmitriy,KZ,,65.0,https://www.procyclingstats.com/rider/dmitriy-gruzdev
480,KAMADA Koki,JP,JCL Team UKYO,65.0,https://www.procyclingstats.com/rider/koki-kamada
481,VALGREN Michael,DK,EF Education - EasyPost,65.0,https://www.procyclingstats.com/rider/michael-valgren-andersen
482,WALLIN Rasmus Bøgh,DK,Uno-X Mobility,65.0,https://www.procyclingstats.com/rider/rasmus-bogh-wallin
483,KUSS Sepp,US,Team Visma | Lease a Bike,65.0,https://www.procyclingstats.com/rider/sepp-kuss
484,COBARRUBIA Leonardo,AR,Sindicato de Empleados Públicos of San Juan,65.0,https://www.procyclingstats.com/rider/leonardo-cobarrubia
485,YIĞIT Tahir,TR,Spor Toto Cycling Team,65.0,https://www.procyclingstats.com/rider/tahir-yigit
486,HIGUITA Sergio,CO,XDS Astana Team,64.0,https://www.procyclingstats.com/rider/sergio-higuita
487,MACIEJUK Filip,PL,Red Bull - BORA - hansgrohe,64.0,https://www.procyclingstats.com/rider/filip-maciejuk
488,VANSEVENANT Mauri,BE,Soudal Quick-Step,64.0,https://www.procyclingstats.com/rider/mauri-vansevenant
489,GUERNALEC Victor,FR,Arkéa - B&B Hotels,64.0,https://www.procyclingstats.com/rider/victor-guernalec
