rank,name,nationality,team,points,rider_url
58,ARENSMAN Thymen,NL,INEOS Grenadiers,454.0,https://www.procyclingstats.com/rider/thymen-arensman
59,WÆRENSKJOLD Søren,NO,Uno-X Mobility,448.0,https://www.procyclingstats.com/rider/soren-waerenskjold
60,TULETT Ben,GB,Team Visma | Lease a Bike,448.0,https://www.procyclingstats.com/rider/ben-tulett
61,MEEUS Jordi,BE,Red Bull - BORA - hansgrohe,432.0,https://www.procyclingstats.com/rider/jordi-meeus
62,FISHER-BLACK Finn,NZ,Red Bull - BORA - hansgrohe,424.0,https://www.procyclingstats.com/rider/finn-fisher-black
63,MOSCHETTI Matteo,IT,Q36.5 Pro Cycling Team,421.0,https://www.procyclingstats.com/rider/matteo-moschetti
64,YATES Adam,GB,UAE Team Emirates - XRG,419.0,https://www.procyclingstats.com/rider/adam-yates
65,GALL Felix,AT,Decathlon AG2R La Mondiale Team,413.0,https://www.procyclingstats.com/rider/felix-gall
66,PIGANZOLI Davide,IT,Team Polti VisitMalta,412.0,https://www.procyclingstats.com/rider/davide-piganzoli
67,GROVES Kaden,AU,Alpecin - Deceuninck,411.0,https://www.procyclingstats.com/rider/kaden-groves
68,MCNULTY Brandon,US,UAE Team Emirates - XRG,407.0,https://www.procyclingstats.com/rider/brandon-mcnulty
69,BERNAL Egan,CO,INEOS Grenadiers,405.0,https://www.procyclingstats.com/rider/egan-bernal
70,KANTER Max,DE,XDS Astana Team,403.0,https://www.procyclingstats.com/rider/max-kanter
71,SCHACHMANN Maximilian,DE,Soudal Quick-Step,397.0,https://www.procyclingstats.com/rider/maximilian-schachmann
72,TRONCHON Bastien,FR,Decathlon AG2R La Mondiale Team,392.0,https://www.procyclingstats.com/rider/bastien-tronchon
73,NARVÁEZ Jhonatan,EC,UAE Team Emirates - XRG,389.0,https://www.procyclingstats.com/rider/jhonatan-narvaez
74,DEL GROSSO Tibor,NL,Alpecin - Deceuninck,387.0,https://www.procyclingstats.com/rider/tibor-del-grosso
75,MOLANO Juan Sebastián,CO,UAE Team Emirates - XRG,385.0,https://www.procyclingstats.com/rider/juan-sebastian-molano
76,RENARD Alexis,FR,Cofidis,378.0,https://www.procyclingstats.com/rider/alexis-renard
77,HOFSTETTER Hugo,FR,Israel - Premier Tech,375.0,https://www.procyclingstats.com/rider/hugo-hofstetter
78,NYS Thibau,BE,Lidl - Trek,374.0,https://www.procyclingstats.com/rider/thibau-nys
79,ULISSI Diego,IT,XDS Astana Team,370.0,https://www.procyclingstats.com/rider/diego-ulissi
80,BENOOT Tiesj,BE,Team Visma | Lease a Bike,370.0,https://www.procyclingstats.com/rider/tiesj-benoot
81,VAN WILDER Ilan,BE,Soudal Quick-Step,369.0,https://www.procyclingstats.com/rider/ilan-van-wilder
82,CHRISTEN Jan,CH,UAE Team Emirates - XRG,368.0,https://www.procyclingstats.com/rider/jan-christen
83,TIBERI Antonio,IT,Bahrain - Victorious,366.0,https://www.procyclingstats.com/rider/antonio-tiberi
84,ROMEO Iván,ES,Movistar Team,365.0,https://www.procyclingstats.com/rider/ivan-romeo
85,KUBIŠ Lukáš,SK,Unibet Tietema Rockets,363.0,https://www.procyclingstats.com/rider/lukas-kubis
86,CARUSO Damiano,IT,Bahrain - Victorious,363.0,https://www.procyclingstats.com/rider/damiano-caruso
87,COVI Alessandro,IT,UAE Team Emirates - XRG,360.0,https://www.procyclingstats.com/rider/alessandro-covi
88,BAGIOLI Andrea,IT,Lidl - Trek,355.0,https://www.procyclingstats.com/rider/andrea-bagioli
89,VAN EETVELT Lennert,BE,Lotto,355.0,https://www.procyclingstats.com/rider/lennert-van-eetvelt
