fantasy_name,team,category,price,pcs_match_found,match_similarity,pcs_name,pcs_rank,pcs_points_2025,pcs_nationality,pcs_team,pcs_url,points_per_credit,value_category
M. LANDA MEANA,Soudal Quick-Step,Leaders,19,True,0.789142857142857,LANDA Mikel,138.0,334.0,ES,Soudal Quick-Step,https://www.procyclingstats.com/rider/mikel-landa,17.57894736842105,Average
G. PELLIZZARI,Red Bull - Bora - Hansgrohe,Climbers,18,True,1.1,PELLIZZARI Giulio,105.0,392.0,IT,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/giulio-pellizzari,21.77777777777778,Good
G. MARTIN GUYONNET,Groupama - FDJ,Climbers,18,True,0.7015438596491228,GENIETS Kevin,331.0,143.0,LU,Groupama - FDJ,https://www.procyclingstats.com/rider/kevin-geniets,7.944444444444445,Poor
J. HINDLEY,Red Bull - Bora - Hansgrohe,Leaders,18,True,1.0,HINDLEY Jai,171.0,265.0,AU,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/jai-hindley,14.722222222222221,Average
D. GAUDU,Groupama - FDJ,Leaders,18,True,1.1,GAUDU David,281.0,177.0,FR,Groupama - FDJ,https://www.procyclingstats.com/rider/david-gaudu,9.833333333333334,Poor
F. GANNA,Ineos Grenadiers,All-rounders,18,True,1.0,GANNA Filippo,29.0,788.0,IT,INEOS Grenadiers,https://www.procyclingstats.com/rider/filippo-ganna,43.77777777777778,Great
M. JORGENSON,Team Visma | Lease a Bike,Leaders,17,True,1.0,JORGENSON Matteo,21.0,906.0,US,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/matteo-jorgenson,53.294117647058826,Excellent
S. KÜNG,Groupama - FDJ,All-rounders,17,True,1.1,KÜNG Stefan,199.0,241.0,CH,Groupama - FDJ,https://www.procyclingstats.com/rider/stefan-kung,14.176470588235293,Average
F. GALL,Decathlon AG2R La Mondiale Team,Leaders,17,True,1.1,GALL Felix,24.0,853.0,AT,Decathlon AG2R La Mondiale Team,https://www.procyclingstats.com/rider/felix-gall,50.1764705882353,Excellent
M. POOLE,Team Picnic PostNL,Leaders,17,True,1.0,POOLE Max,162.0,281.0,GB,Team Picnic PostNL,https://www.procyclingstats.com/rider/max-poole,16.529411764705884,Average
S. KUSS,Team Visma | Lease a Bike,Climbers,17,True,1.1,KUSS Sepp,240.0,205.0,US,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/sepp-kuss,12.058823529411764,Average
S. BUITRAGO SANCHEZ,Bahrain Victorious,Climbers,17,True,0.8356201550387595,SANCHEZ Clément,2138.0,1.0,FR,Vendée U Pays de la Loire,https://www.procyclingstats.com/rider/clement-sanchez,0.058823529411764705,Poor
T. STEWART,Israël - Premier Tech,Sprinters,16,True,1.0637719298245614,STEWART Jake,184.0,253.0,GB,Israel - Premier Tech,https://www.procyclingstats.com/rider/jake-stewart,15.8125,Average
L. BISIAUX,Decathlon AG2R La Mondiale Team,Climbers,16,True,1.0,BISIAUX Léo,243.0,204.0,FR,Decathlon AG2R La Mondiale Team,https://www.procyclingstats.com/rider/leo-bisiaux,12.75,Average
P. CASTRILLO ZAPATER,Movistar Team,Climbers,16,True,1.0,CASTRILLO Pablo,131.0,341.0,ES,Movistar Team,https://www.procyclingstats.com/rider/pablo-castrillo-zapater,21.3125,Good
V. PARET PEINTRE,Soudal Quick-Step,Climbers,16,True,1.0,PARET-PEINTRE Valentin,130.0,343.0,FR,Soudal Quick-Step,https://www.procyclingstats.com/rider/valentin-paret-peintre,21.4375,Good
J. VINE,UAE Team Emirates XRG,Climbers,16,True,1.1,VINE Jay,80.0,454.0,AU,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/jay-vine,28.375,Good
E. DUNBAR,Team Jayco AlUla,Leaders,16,True,1.0,DUNBAR Eddie,423.0,103.0,IE,Team Jayco AlUla,https://www.procyclingstats.com/rider/edward-irl-dunbar,6.4375,Poor
B. COQUARD,Cofidis,Sprinters,16,True,1.0,COQUARD Bryan,102.0,394.0,FR,Cofidis,https://www.procyclingstats.com/rider/bryan-coquard,24.625,Good
B. TULETT,Team Visma | Lease a Bike,Climbers,15,True,1.1,TULETT Ben,67.0,510.0,GB,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/ben-tulett,34.0,Good
C. HARPER,Team Jayco AlUla,Climbers,15,True,1.0,HARPER Chris,172.0,264.0,AU,Team Jayco AlUla,https://www.procyclingstats.com/rider/chris-harper,17.6,Average
H. TEJADA CANACUE,XDS Astana Team,Climbers,15,True,1.0,TEJADA Harold,127.0,348.0,CO,XDS Astana Team,https://www.procyclingstats.com/rider/harold-tejada,23.2,Good
L. FORTUNATO,XDS Astana Team,Leaders,15,True,1.1,FORTUNATO Lorenzo,32.0,750.0,IT,XDS Astana Team,https://www.procyclingstats.com/rider/lorenzo-fortunato,50.0,Great
M. SOLER,UAE Team Emirates XRG,Climbers,15,True,1.0,SOLER Marc,159.0,283.0,ES,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/marc-soler,18.866666666666667,Average
O. AULAR SANABRIA,Movistar Team,Sprinters,15,True,0.7015438596491228,GAVIRIA Fernando,612.0,56.0,CO,Movistar Team,https://www.procyclingstats.com/rider/fernando-gaviria,3.7333333333333334,Poor
E. VIVIANI,Lotto,Sprinters,14,True,1.1,VIVIANI Elia,465.0,91.0,IT,Lotto,https://www.procyclingstats.com/rider/elia-viviani,6.5,Poor
F. CHRISTEN,Q36.5 Pro Cycling Team,All-rounders,14,True,1.1,CHRISTEN Fabio,95.0,406.0,CH,Q36.5 Pro Cycling Team,https://www.procyclingstats.com/rider/fabio-christen,29.0,Good
R. GARCIA PIERNA,Arkea-B&B Hotels Woman,All-rounders,14,True,1.0,GARCÍA PIERNA Raúl,229.0,213.0,ES,Arkéa - B&B Hotels,https://www.procyclingstats.com/rider/raul-garcia-pierna,15.214285714285714,Average
J. STAUNE-MITTET,Decathlon AG2R La Mondiale Team,Climbers,14,True,1.0,STAUNE-MITTET Johannes,255.0,195.0,NO,Decathlon AG2R La Mondiale Team,https://www.procyclingstats.com/rider/johannes-staune-mittet,13.928571428571429,Average
M. SHEFFIELD,Ineos Grenadiers,All-rounders,14,True,1.0,SHEFFIELD Magnus,69.0,505.0,US,INEOS Grenadiers,https://www.procyclingstats.com/rider/magnus-sheffield,36.07142857142857,Great
J. CHAVES RUBIO,EF Education - Easypost,Climbers,14,True,1.0,CHAVES Esteban,321.0,147.0,CO,EF Education - EasyPost,https://www.procyclingstats.com/rider/johan-esteban-chaves,10.5,Average
S. CARR,Cofidis,Climbers,14,True,1.0,CARR Simon,1284.0,14.0,GB,Cofidis,https://www.procyclingstats.com/rider/simon-carr,1.0,Poor
