fantasy_name,team,category,price,pcs_match_found,match_similarity,pcs_name,pcs_rank,pcs_points_2025,pcs_nationality,pcs_team,pcs_url,points_per_credit,value_category
J. HIRT,Israël - Premier Tech,Climbers,10,True,1.0921052631578947,HIRT Jan,1668.0,5.0,CZ,Israel - Premier Tech,https://www.procyclingstats.com/rider/jan-hirt,0.5,Poor
A. LIVYNS,Lotto,Sprinters,10,True,1.0,LIVYNS Arjen,265.0,187.0,BE,Lotto,https://www.procyclingstats.com/rider/arjen-livyns,18.7,Average
A. GHEBREIGZABHIER,Lidl-Trek,All-rounders,10,True,1.0,GHEBREIGZABHIER Amanuel,584.0,61.0,ER,Lidl - Trek,https://www.procyclingstats.com/rider/amanuel-ghebreigzabhier,6.1,Poor
K. BOUWMAN,Team Jayco AlUla,Climbers,10,True,1.0,BOUWMAN Koen,904.0,30.0,NL,Team Jayco AlUla,https://www.procyclingstats.com/rider/koen-bouwman,3.0,Poor
B. ZWIEHOFF,Red Bull - Bora - Hansgrohe,Climbers,10,True,1.1,ZWIEHOFF Ben,599.0,58.0,DE,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/ben-zwiehoff,5.8,Poor
B. ROLLAND,Groupama - FDJ,Climbers,9,True,1.0,ROLLAND Brieuc,666.0,50.0,FR,Groupama - FDJ,https://www.procyclingstats.com/rider/brieuc-rolland,5.555555555555555,Poor
F. MASNADA,XDS Astana Team,Climbers,9,True,1.1,MASNADA Fausto,977.0,25.0,IT,XDS Astana Team,https://www.procyclingstats.com/rider/fausto-masnada,2.7777777777777777,Poor
L. NERURKAR,EF Education - Easypost,All-rounders,9,True,1.0,NERURKAR Lukas,436.0,99.0,GB,EF Education - EasyPost,https://www.procyclingstats.com/rider/lukas-nerurkar,11.0,Average
X. AZPARREN IRURZUN,Q36.5 Pro Cycling Team,All-rounders,9,True,1.0,AZPARREN Xabier Mikel,786.0,38.0,ES,Q36.5 Pro Cycling Team,https://www.procyclingstats.com/rider/xabier-mikel-azparren-irurzun,4.222222222222222,Poor
M. VAN DER MEULEN,Bahrain Victorious,Climbers,9,True,1.0,VAN DER MEULEN Max,1004.0,23.0,NL,Bahrain - Victorious,https://www.procyclingstats.com/rider/max-van-der-meulen,2.5555555555555554,Poor
N. BURATTI,Bahrain Victorious,Sprinters,9,True,1.0,BURATTI Nicolò,712.0,44.0,IT,Bahrain - Victorious,https://www.procyclingstats.com/rider/nicolo-buratti,4.888888888888889,Poor
J. LABROSSE,Decathlon AG2R La Mondiale Team,All-rounders,9,True,1.0,LABROSSE Jordan,405.0,107.0,FR,Decathlon AG2R La Mondiale Team,https://www.procyclingstats.com/rider/jordan-labrosse,11.88888888888889,Average
E. SEPULVEDA,Lotto,Climbers,9,True,1.0,SEPÚLVEDA Eduardo,516.0,78.0,AR,Lotto,https://www.procyclingstats.com/rider/eduardo-sepulveda,8.666666666666666,Poor
S. PETILLI,Intermarché - Wanty,Climbers,9,True,1.1,PETILLI Simone,824.0,35.0,IT,Intermarché - Wanty,https://www.procyclingstats.com/rider/simone-petilli,3.888888888888889,Poor
L. SLOCK,Lotto,All-rounders,8,True,1.0,SLOCK Liam,855.0,33.0,BE,Lotto,https://www.procyclingstats.com/rider/liam-slock,4.125,Poor
S. SAMITIER SAMITIER,Cofidis,All-rounders,8,True,1.1,SAMITIER Sergio,596.0,59.0,ES,Cofidis,https://www.procyclingstats.com/rider/sergio-samitier,7.375,Poor
B. KOERDT,Team Picnic PostNL,All-rounders,8,True,1.0,KOERDT Bjorn,410.0,106.0,GB,Team Picnic PostNL,https://www.procyclingstats.com/rider/bjoern-koerdt,13.25,Average
A. FOLDAGER,Team Jayco AlUla,All-rounders,8,True,1.0,FOLDAGER Anders,274.0,183.0,DK,Team Jayco AlUla,https://www.procyclingstats.com/rider/anders-foldager,22.875,Good
N. PETERS,Decathlon AG2R La Mondiale Team,All-rounders,8,True,1.1,PETERS Nans,606.0,58.0,FR,Decathlon AG2R La Mondiale Team,https://www.procyclingstats.com/rider/nans-peters,7.25,Poor
A. VERRE,Arkea-B&B Hotels Woman,All-rounders,8,True,0.96,VERRE Alessandro,467.0,90.0,IT,Arkéa - B&B Hotels,https://www.procyclingstats.com/rider/alessandro-verre,11.25,Average
J. BOU COMPANY,Caja Rural-Seguros RGA,Climbers,8,True,0.6850607287449393,COLMAN Alex,665.0,50.0,BE,Team Flanders - Baloise,https://www.procyclingstats.com/rider/alex-colman,6.25,Poor
J. JENSEN,Team Jayco AlUla,All-rounders,8,True,1.0,PLOWRIGHT Jensen,439.0,99.0,AU,Alpecin - Deceuninck,https://www.procyclingstats.com/rider/jensen-plowright,12.375,Average
M. RIES,Arkea-B&B Hotels Woman,Climbers,8,True,0.96,RIES Michel,1050.0,21.0,LU,Arkéa - B&B Hotels,https://www.procyclingstats.com/rider/michel-ries,2.625,Poor
R. THOMPSON,Lotto,Climbers,8,True,1.1,THOMPSON Reuben,763.0,40.0,NZ,Lotto,https://www.procyclingstats.com/rider/reuben-thompson,5.0,Poor
T. BAYER,Alpecin - Deceuninck,Climbers,8,True,1.0,BAYER Tobias,795.0,37.0,AT,Alpecin - Deceuninck,https://www.procyclingstats.com/rider/tobias-bayer,4.625,Poor
P. CÔTÉ,Israël - Premier Tech,All-rounders,7,True,1.0,CÔTÉ Pier-André,402.0,109.0,CA,Israel - Premier Tech,https://www.procyclingstats.com/rider/pier-andre-cote,15.571428571428571,Average
L. VAN BOVEN,Intermarché - Wanty,All-rounders,7,True,1.0,VAN BOVEN Luca,366.0,123.0,BE,Intermarché - Wanty,https://www.procyclingstats.com/rider/luca-van-boven,17.571428571428573,Average
J. RICKAERT,Alpecin - Deceuninck,All-rounders,7,True,1.0,RICKAERT Jonas,590.0,60.0,BE,Alpecin - Deceuninck,https://www.procyclingstats.com/rider/jonas-rickaert,8.571428571428571,Poor
N. ZUKOWSKY,Q36.5 Pro Cycling Team,All-rounders,7,True,1.1,ZUKOWSKY Nickolas,1180.0,15.0,CA,Q36.5 Pro Cycling Team,https://www.procyclingstats.com/rider/nickolas-zukowsky,2.142857142857143,Poor
H. DE LA CALLE ARANGO,Burgos-BH,All-rounders,7,True,1.0,DE LA CALLE Hugo,480.0,88.0,ES,Burgos Burpellet BH,https://www.procyclingstats.com/rider/hugo-de-la-calle-arango,12.571428571428571,Average
S. DE PESTEL,Decathlon AG2R La Mondiale Team,All-rounders,7,True,1.0,DE PESTEL Sander,626.0,55.0,BE,Decathlon AG2R La Mondiale Team,https://www.procyclingstats.com/rider/sander-de-pestel,7.857142857142857,Poor
K. O’BRIEN,Team Jayco AlUla,All-rounders,7,True,1.1,O'BRIEN Kelland,598.0,58.0,AU,Team Jayco AlUla,https://www.procyclingstats.com/rider/kelland-brien,8.285714285714286,Poor
J. ARCAS,Movistar Team,All-rounders,7,True,1.1,ARCAS Jorge,1073.0,20.0,ES,Movistar Team,https://www.procyclingstats.com/rider/jorge-arcas,2.857142857142857,Poor
M. PAASSCHENS,Bahrain Victorious,All-rounders,7,True,1.0,PAASSCHENS Mathijs,880.0,30.0,NL,Bahrain - Victorious,https://www.procyclingstats.com/rider/mathijs-paasschens,4.285714285714286,Poor
D. GONZALEZ LOPEZ,Q36.5 Pro Cycling Team,Sprinters,7,True,1.0,GONZÁLEZ David,903.0,30.0,ES,Q36.5 Pro Cycling Team,https://www.procyclingstats.com/rider/david-gonzalez-lopez,4.285714285714286,Poor
A. ANGULO SAMPEDRO,Burgos-BH,Sprinters,7,True,1.0,ANGULO Antonio,958.0,26.0,ES,Burgos Burpellet BH,https://www.procyclingstats.com/rider/antonio-angulo,3.7142857142857144,Poor
A. OKAMIKA BENGOETXEA,Burgos-BH,Climbers,7,True,1.0,OKAMIKA Ander,935.0,28.0,ES,Burgos Burpellet BH,https://www.procyclingstats.com/rider/ander-okamika,4.0,Poor
P. GAMPER,Team Jayco AlUla,All-rounders,7,True,1.0,GAMPER Patrick,738.0,42.0,AT,Team Jayco AlUla,https://www.procyclingstats.com/rider/patrick-gamper,6.0,Poor
J. KOCH,Red Bull - Bora - Hansgrohe,All-rounders,7,True,1.1,KOCH Jonas,790.0,38.0,DE,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/jonas-koch,5.428571428571429,Poor
L. CRAPS,Lotto,All-rounders,6,True,1.0,CRAPS Lars,1734.0,5.0,BE,Lotto,https://www.procyclingstats.com/rider/lars-craps,0.8333333333333334,Poor
H. ARTZ,Intermarché - Wanty,All-rounders,6,True,1.1,ARTZ Huub,395.0,111.0,NL,Intermarché - Wanty,https://www.procyclingstats.com/rider/huub-artz,18.5,Average
J. GUARDEÑO ROMA,Caja Rural-Seguros RGA,Climbers,6,True,1.0,GUARDEÑO Jaume,1678.0,5.0,ES,Caja Rural - Seguros RGA,https://www.procyclingstats.com/rider/jaume-guardeno,0.8333333333333334,Poor
J. FAURA ASENSIO,Burgos-BH,All-rounders,6,True,1.0,FAURA José Luis,930.0,28.0,ES,Burgos Burpellet BH,https://www.procyclingstats.com/rider/jose-luis-faura-asensio,4.666666666666667,Poor
V. GUERNALEC,Arkea-B&B Hotels Woman,All-rounders,6,True,1.0,GUERNALEC Victor,547.0,69.0,FR,Arkéa - B&B Hotels,https://www.procyclingstats.com/rider/victor-guernalec,11.5,Average
N. VINOKUROV,XDS Astana Team,All-rounders,6,True,1.0,VINOKUROV Nicolas,938.0,27.0,KZ,XDS Astana Team,https://www.procyclingstats.com/rider/nicolas-vinokurov,4.5,Poor
J. VAN DEN BERG,Team Picnic PostNL,All-rounders,6,True,0.7536141636141634,BJERG Mikkel,636.0,53.0,DK,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/mikkel-bjerg,8.833333333333334,Poor
P. OURSELIN,Cofidis,All-rounders,6,True,1.0,OURSELIN Paul,818.0,35.0,FR,Cofidis,https://www.procyclingstats.com/rider/paul-ourselin,5.833333333333333,Poor
J. NICOLAU BELTRAN,Caja Rural-Seguros RGA,All-rounders,6,True,1.0,NICOLAU Joel,534.0,71.0,ES,Caja Rural - Seguros RGA,https://www.procyclingstats.com/rider/joel-nicolau,11.833333333333334,Average
D. DE POOTER,Intermarché - Wanty,All-rounders,5,True,0.8070833333333334,PORTER Rudy,668.0,49.0,AU,,https://www.procyclingstats.com/rider/rudy-porter,9.8,Poor
R. DEBRUYNE,Alpecin - Deceuninck,All-rounders,5,True,1.0,DEBRUYNE Ramses,784.0,38.0,BE,Alpecin - Deceuninck,https://www.procyclingstats.com/rider/ramses-debruyne,7.6,Poor
S. ROESEMS,Alpecin - Deceuninck,All-rounders,5,False,0.0,,,0.0,,,,0.0,Unknown
L. LOZOUET,Arkea-B&B Hotels Woman,All-rounders,5,True,1.0,LOZOUET Léandre,901.0,30.0,FR,Arkéa - B&B Hotels,https://www.procyclingstats.com/rider/leandre-lozouet,6.0,Poor
P. EDDY,Team Picnic PostNL,All-rounders,5,True,1.1,EDDY Patrick,744.0,41.0,AU,Team Picnic PostNL,https://www.procyclingstats.com/rider/patrick-eddy,8.2,Poor
N. RAISBERG,Israël - Premier Tech,All-rounders,5,True,1.0,RAISBERG Nadav,764.0,40.0,IL,Israel - Premier Tech,https://www.procyclingstats.com/rider/nadav-raisberg,8.0,Poor
