fantasy_name,team,category,price,pcs_match_found,match_similarity,pcs_name,pcs_rank,pcs_points_2025,pcs_points_12m,pcs_nationality,pcs_team,pcs_url,wins_2026,value_points,points_per_credit,value_category
B. ARMIRAIL,Team Visma | Lease a Bike,All-rounders,11,True,1.0,ARMIRAIL Bruno,457.0,76.0,382.0,FR,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/bruno-armirail,1,137.2,13.096363636363636,Average
V. CAMPENAERTS,Team Visma | Lease a Bike,All-rounders,11,True,1.0,CAMPENAERTS Victor,514.0,65.0,252.0,BE,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/victor-campenaerts,0,102.4,9.30909090909091,Poor
C. BERTHET,Groupama-FDJ United,Climbers,11,True,1.0,BERTHET Clément,397.0,93.0,200.0,FR,Groupama - FDJ United,https://www.procyclingstats.com/rider/clement-berthet,0,114.4,10.4,Poor
S. WÆRENSKJOLD,Uno-X Mobility,All-rounders,11,True,1.0,WÆRENSKJOLD Søren,126.0,270.0,756.0,NO,Uno-X Mobility,https://www.procyclingstats.com/rider/soren-waerenskjold,0,367.2,33.38181818181818,Good
K. ASGREEN,EF Education - Easypost,All-rounders,11,True,1.0,ASGREEN Kasper,513.0,65.0,105.0,DK,EF Education - EasyPost,https://www.procyclingstats.com/rider/kasper-asgreen,0,73.0,6.636363636363637,Poor
T. BENOOT,Decathlon CMA CGM Team,All-rounders,11,True,1.0,BENOOT Tiesj,666.0,45.0,268.0,BE,Decathlon CMA CGM Team,https://www.procyclingstats.com/rider/tiesj-benoot,0,89.6,8.145454545454545,Poor
K. NEILANDS,NSN Cycling Team,All-rounders,11,True,1.0,NEILANDS Krists,365.0,106.0,175.0,LV,NSN Cycling Team,https://www.procyclingstats.com/rider/krists-neilands,0,119.8,10.89090909090909,Poor
G. ZIMMERMANN,Lotto Intermarché,Climbers,11,True,1.0,ZIMMERMANN Georg,107.0,302.0,307.0,DE,Lotto Intermarché,https://www.procyclingstats.com/rider/georg-zimmermann,1,303.0,28.922727272727276,Good
V. MADOUAS,Groupama-FDJ United,All-rounders,11,True,1.0,MADOUAS Valentin,434.0,83.0,315.0,FR,Groupama - FDJ United,https://www.procyclingstats.com/rider/valentin-madouas,0,129.4,11.763636363636364,Poor
C. BOL,Decathlon CMA CGM Team,Sprinters,11,True,1.0,BOL Cees,298.0,136.0,164.0,NL,Decathlon CMA CGM Team,https://www.procyclingstats.com/rider/cees-bol,0,141.6,12.872727272727273,Average
S. KRAGH ANDERSEN,Lidl-Trek,All-rounders,11,True,1.0,KRAGH ANDERSEN Søren,271.0,152.0,265.0,DK,Lidl - Trek,https://www.procyclingstats.com/rider/soren-kragh-andersen,0,174.6,15.872727272727273,Average
Q. HERMANS,Pinarello-Q.36.5 Pro Cycling Team,All-rounders,11,True,1.0951612903225807,HERMANS Quinten,139.0,258.0,482.0,BE,Pinarello Q36.5 Pro Cycling Team,https://www.procyclingstats.com/rider/quinten-hermans,0,302.8,27.527272727272727,Good
A. PARET PEINTRE,Decathlon CMA CGM Team,All-rounders,11,True,1.0,PARET-PEINTRE Aurélien,607.0,52.0,337.0,FR,Decathlon CMA CGM Team,https://www.procyclingstats.com/rider/aurelien-paret-peintre,0,109.0,9.909090909090908,Poor
A. GATE,XDS Astana Team,Sprinters,10,True,1.1,GATE Aaron,349.0,110.0,204.0,NZ,XDS Astana Team,https://www.procyclingstats.com/rider/aaron-gate,0,128.8,12.88,Average
P. HAGENES,Team Visma | Lease a Bike,Climbers,10,True,1.0716666666666665,HAGENES Per Strand,90.0,336.0,336.0,NO,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/per-strand-hagenes,2,336.0,36.96000000000001,Great
T. VAN DIJKE,Red Bull - BORA - hansgrohe,All-rounders,10,True,1.0,VAN DIJKE Tim,137.0,260.0,309.0,NL,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/tim-van-dijke,0,269.8,26.98,Good
H. HOFSTETTER,NSN Cycling Team,Sprinters,10,True,1.1,HOFSTETTER Hugo,205.0,196.0,220.0,FR,NSN Cycling Team,https://www.procyclingstats.com/rider/hugo-hofstetter,0,200.8,20.080000000000002,Average
M. VACEK,Lidl-Trek,All-rounders,10,True,1.1,VACEK Mathias,108.0,302.0,410.0,CZ,Lidl - Trek,https://www.procyclingstats.com/rider/mathias-vacek,3,323.6,37.214,Great
J. LABROSSE,Decathlon CMA CGM Team,All-rounders,10,True,1.1,LABROSSE Jordan,534.0,62.0,130.0,FR,Decathlon CMA CGM Team,https://www.procyclingstats.com/rider/jordan-labrosse,0,75.6,7.56,Poor
F. BARCELO ARAGON,Caja Rural-Seguros RGA,Climbers,10,True,1.0,BARCELÓ Fernando,232.0,174.0,235.0,ES,Caja Rural - Seguros RGA,https://www.procyclingstats.com/rider/fernando-barcelo,0,186.2,18.619999999999997,Average
A. BALDERSTONE ROUMENS,Caja Rural-Seguros RGA,Leaders,10,True,1.0,BALDERSTONE Abel,581.0,56.0,190.0,ES,Caja Rural - Seguros RGA,https://www.procyclingstats.com/rider/abel-balderstone-roumens,0,82.8,8.28,Poor
A. VALTER,Bahrain Victorious,All-rounders,10,True,1.1,VALTER Attila,378.0,101.0,135.0,HU,Bahrain - Victorious,https://www.procyclingstats.com/rider/attila-valter,0,107.8,10.78,Poor
R. DEBRUYNE,Alpecin-Premier Tech,All-rounders,10,True,1.1,DEBRUYNE Ramses,285.0,143.0,209.0,BE,Alpecin - Premier Tech,https://www.procyclingstats.com/rider/ramses-debruyne,0,156.2,15.62,Average
D. HOOLE,Decathlon CMA CGM Team,All-rounders,10,True,1.0,HOOLE Daan,401.0,92.0,183.0,NL,Decathlon CMA CGM Team,https://www.procyclingstats.com/rider/daan-hoole,0,110.2,11.02,Poor
A. BAUDIN,EF Education - Easypost,Climbers,10,True,1.0,BAUDIN Alex,32.0,540.0,702.0,FR,EF Education - EasyPost,https://www.procyclingstats.com/rider/alex-baudin,1,572.4,60.102,Excellent
B. THOMAS,Cofidis,All-rounders,10,True,1.0,THOMAS Benjamin,427.0,84.0,257.0,FR,Cofidis,https://www.procyclingstats.com/rider/benjamin-thomas-2,0,118.6,11.86,Poor
R. STANNARD,Bahrain Victorious,All-rounders,10,True,1.0,STANNARD Robert,598.0,53.0,88.0,AU,Bahrain - Victorious,https://www.procyclingstats.com/rider/robert-stannard,0,60.0,6.0,Poor
E. COSTIOU,Groupama-FDJ United,Climbers,10,True,1.0,COSTIOU Ewen,170.0,226.0,423.0,FR,Groupama - FDJ United,https://www.procyclingstats.com/rider/ewen-costiou,2,265.4,29.194000000000003,Good
T. GUERNALEC,TotalEnergies,All-rounders,10,True,1.0,GUERNALEC Thibault,1326.0,10.0,83.0,FR,TotalEnergies,https://www.procyclingstats.com/rider/thibault-guernalec,0,24.6,2.46,Poor
R. GARCIA PIERNA,Movistar Team,All-rounders,10,True,1.0,GARCÍA PIERNA Raúl,215.0,186.0,325.0,ES,Movistar Team,https://www.procyclingstats.com/rider/raul-garcia-pierna,1,213.8,22.449000000000005,Average
C. SCOTSON,Decathlon CMA CGM Team,All-rounders,10,True,1.0,SCOTSON Callum,605.0,52.0,107.0,AU,Decathlon CMA CGM Team,https://www.procyclingstats.com/rider/callum-scotson,0,63.0,6.3,Poor
A. TURGIS,TotalEnergies,All-rounders,10,True,1.0,TURGIS Anthony,104.0,312.0,461.0,FR,TotalEnergies,https://www.procyclingstats.com/rider/anthony-turgis,0,341.8,34.18,Good
J. HAIG,Netcompany Ineos,Climbers,10,True,1.0,HAIG Jack,547.0,60.0,85.0,AU,Netcompany INEOS,https://www.procyclingstats.com/rider/jack-haig,0,65.0,6.5,Poor
T. TRÆEN,Uno-X Mobility,Climbers,10,True,1.0,TRÆEN Torstein,653.0,46.0,339.0,NO,Uno-X Mobility,https://www.procyclingstats.com/rider/torstein-traeen,0,104.6,10.459999999999999,Poor
M. BJERG,UAE Team Emirates XRG,All-rounders,10,True,1.1,BJERG Mikkel,491.0,69.0,157.0,DK,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/mikkel-bjerg,0,86.6,8.66,Poor
S. CRAS,Soudal Quick-Step,Leaders,10,True,1.0,CRAS Steff,654.0,46.0,90.0,BE,Soudal Quick-Step,https://www.procyclingstats.com/rider/steff-cras,0,54.8,5.4799999999999995,Poor
C. HARPER,Pinarello-Q.36.5 Pro Cycling Team,Climbers,10,True,1.0,HARPER Chris,113.0,289.0,294.0,AU,Pinarello Q36.5 Pro Cycling Team,https://www.procyclingstats.com/rider/chris-harper,0,290.0,29.0,Good
C. HAMILTON,Team Picnic PostNL,Climbers,10,True,1.1,HAMILTON Chris,415.0,87.0,140.0,AU,Team Picnic PostNL,https://www.procyclingstats.com/rider/chris-hamilton,0,97.6,9.76,Poor
J. DEGENKOLB,Team Picnic PostNL,Sprinters,10,True,1.1,DEGENKOLB John,472.0,73.0,73.0,DE,Team Picnic PostNL,https://www.procyclingstats.com/rider/john-degenkolb,0,73.0,7.3,Poor
W. BARGUIL,Team Picnic PostNL,Climbers,10,True,1.0,BARGUIL Warren,806.0,33.0,128.0,FR,Team Picnic PostNL,https://www.procyclingstats.com/rider/warren-barguil,0,52.0,5.2,Poor
G. Mühlberger,Decathlon CMA CGM Team,All-rounders,10,True,1.1,MÜHLBERGER Gregor,321.0,123.0,297.0,AT,Decathlon CMA CGM Team,https://www.procyclingstats.com/rider/gregor-muhlberger,0,157.8,15.780000000000001,Average
F. VERMEERSCH,UAE Team Emirates XRG,All-rounders,10,True,1.0,VERMEERSCH Florian,77.0,366.0,526.0,BE,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/florian-vermeersch,0,398.0,39.8,Great
D. VAN BAARLE,Soudal Quick-Step,All-rounders,10,True,1.0,VAN BAARLE Dylan,638.0,48.0,137.0,NL,Soudal Quick-Step,https://www.procyclingstats.com/rider/dylan-van-baarle,0,65.8,6.58,Poor
D. TEUNS,Cofidis,All-rounders,10,True,1.0,TEUNS Dylan,468.0,74.0,187.0,BE,Cofidis,https://www.procyclingstats.com/rider/dylan-teuns,0,96.6,9.66,Poor
Q. PACHER,Groupama-FDJ United,All-rounders,10,True,1.0,PACHER Quentin,476.0,72.0,97.0,FR,Groupama - FDJ United,https://www.procyclingstats.com/rider/quentin-pacher,0,77.0,7.7,Poor
N. POLITT,UAE Team Emirates XRG,All-rounders,10,True,1.0,POLITT Nils,185.0,213.0,278.0,DE,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/nils-politt,1,226.0,23.730000000000004,Good
N. CONCI,XDS Astana Team,All-rounders,9,True,1.1,CONCI Nicola,674.0,43.0,87.0,IT,XDS Astana Team,https://www.procyclingstats.com/rider/nicola-conci,0,51.8,5.7555555555555555,Poor
Y. VOISARD,Tudor Pro Cycling Team,Climbers,9,True,1.1,VOISARD Yannis,168.0,226.0,433.0,CH,Tudor Pro Cycling Team,https://www.procyclingstats.com/rider/yannis-voisard,1,267.4,31.196666666666665,Good
R. PLUIMERS,Tudor Pro Cycling Team,All-rounders,9,True,1.1,PLUIMERS Rick,233.0,174.0,261.0,NL,Tudor Pro Cycling Team,https://www.procyclingstats.com/rider/rick-pluimers,0,191.4,21.266666666666666,Average
F. BIESTERBOS,Team Picnic PostNL,All-rounders,9,True,1.1,BIESTERBOS Frits,149.0,249.0,271.0,NL,Team Picnic PostNL,https://www.procyclingstats.com/rider/frits-biesterbos,0,253.4,28.155555555555555,Good
F. ENGELHARDT,Team Jayco AlUla,All-rounders,9,True,1.1,ENGELHARDT Felix,324.0,120.0,320.0,DE,Team Jayco AlUla,https://www.procyclingstats.com/rider/felix-engelhardt,2,160.0,19.555555555555557,Average
A. COVI,Team Jayco AlUla,All-rounders,9,True,1.1,COVI Alessandro,475.0,72.0,103.0,IT,Team Jayco AlUla,https://www.procyclingstats.com/rider/alessandro-covi,0,78.2,8.68888888888889,Poor
T. VAN ASBROECK,NSN Cycling Team,All-rounders,9,True,1.0,VAN ASBROECK Tom,564.0,58.0,95.0,BE,NSN Cycling Team,https://www.procyclingstats.com/rider/tom-van-asbroeck,0,65.4,7.2666666666666675,Poor
L. SLOCK,Lotto Intermarché,All-rounders,9,True,1.1,SLOCK Liam,199.0,202.0,227.0,BE,Lotto Intermarché,https://www.procyclingstats.com/rider/liam-slock,1,207.0,24.150000000000002,Good
B. VEISTROFFER,Lotto Intermarché,All-rounders,9,True,1.1,VEISTROFFER Baptiste,405.0,91.0,96.0,FR,Lotto Intermarché,https://www.procyclingstats.com/rider/baptiste-veistroffer,1,92.0,10.733333333333333,Poor
A. DELETTRE,TotalEnergies,All-rounders,9,True,1.0,DELETTRE Alexandre,145.0,253.0,606.0,FR,TotalEnergies,https://www.procyclingstats.com/rider/alexandre-delettre,0,323.6,35.955555555555556,Good
L. BARRE,Team Visma | Lease a Bike,All-rounders,9,True,1.0,BARRÉ Louis,532.0,63.0,208.0,FR,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/louis-barre,0,92.0,10.222222222222221,Poor
S. DE PESTEL,Decathlon CMA CGM Team,All-rounders,9,True,1.0,DE PESTEL Sander,518.0,64.0,89.0,BE,Decathlon CMA CGM Team,https://www.procyclingstats.com/rider/sander-de-pestel,0,69.0,7.666666666666667,Poor
S. CARR,Cofidis,All-rounders,9,True,1.0,CARR Simon,456.0,76.0,90.0,GB,Cofidis,https://www.procyclingstats.com/rider/simon-carr,0,78.8,8.755555555555555,Poor
M. LE BERRE,TotalEnergies,All-rounders,9,True,1.0,LE BERRE Mathis,548.0,60.0,135.0,FR,TotalEnergies,https://www.procyclingstats.com/rider/mathis-le-berre,0,75.0,8.333333333333334,Poor
E. VERSTRYNGE,Alpecin-Premier Tech,All-rounders,9,True,1.0,VERSTRYNGE Emiel,147.0,251.0,276.0,BE,Alpecin - Premier Tech,https://www.procyclingstats.com/rider/emiel-verstrynge,0,256.0,28.444444444444443,Good
M. VERCHER,TotalEnergies,All-rounders,9,True,1.0,VERCHER Mattéo,248.0,163.0,223.0,FR,TotalEnergies,https://www.procyclingstats.com/rider/matheo-vercher,0,175.0,19.444444444444443,Average
B. VAN MOER,Pinarello-Q.36.5 Pro Cycling Team,All-rounders,9,True,1.0,VAN MOER Brent,224.0,180.0,218.0,BE,Pinarello Q36.5 Pro Cycling Team,https://www.procyclingstats.com/rider/brent-van-moer,0,187.6,20.844444444444445,Average
S. QUINN,EF Education - Easypost,All-rounders,9,True,1.1,QUINN Sean,910.0,25.0,71.0,US,EF Education - EasyPost,https://www.procyclingstats.com/rider/sean-quinn,0,34.2,3.8000000000000003,Poor
X. MEURISSE,Pinarello-Q.36.5 Pro Cycling Team,Climbers,9,True,1.0,MEURISSE Xandro,487.0,70.0,270.0,BE,Pinarello Q36.5 Pro Cycling Team,https://www.procyclingstats.com/rider/xandro-meurisse,0,110.0,12.222222222222221,Poor
G. VERMEERSCH,Red Bull - BORA - hansgrohe,All-rounders,9,True,1.0,VERMEERSCH Gianni,119.0,282.0,345.0,BE,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/gianni-vermeersch,0,294.6,32.733333333333334,Good
C. RUSSO,Groupama-FDJ United,All-rounders,9,True,1.0,RUSSO Clément,558.0,59.0,141.0,FR,Groupama - FDJ United,https://www.procyclingstats.com/rider/clement-russo,0,75.4,8.377777777777778,Poor
R. ADRIA OLIVERAS,Movistar Team,All-rounders,9,True,1.0,OLIVEIRA Rui,503.0,66.0,143.0,PT,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/rui-oliveira,0,81.4,9.044444444444444,Poor
C. PEDERSEN,Soudal Quick-Step,All-rounders,9,True,1.1,PEDERSEN Casper,426.0,84.0,89.0,DK,Soudal Quick-Step,https://www.procyclingstats.com/rider/casper-pedersen,0,85.0,9.444444444444445,Poor
T. SKUJINS,Lidl-Trek,All-rounders,9,True,1.0,SKUJIŅŠ Toms,602.0,53.0,459.0,LV,Lidl - Trek,https://www.procyclingstats.com/rider/toms-skujins,0,134.2,14.91111111111111,Average
M. TEUNISSEN,XDS Astana Team,Sprinters,9,True,1.0,TEUNISSEN Mike,198.0,203.0,373.0,NL,XDS Astana Team,https://www.procyclingstats.com/rider/mike-teunissen,0,237.0,26.333333333333332,Good
N. VINOKUROV,XDS Astana Team,All-rounders,8,True,1.1,VINOKUROV Nicolas,91.0,336.0,453.0,KZ,XDS Astana Team,https://www.procyclingstats.com/rider/nicolas-vinokurov,1,359.4,47.17125,Great
J. DELBOVE,TotalEnergies,All-rounders,8,True,1.1,DELBOVE Joris,410.0,90.0,304.0,FR,TotalEnergies,https://www.procyclingstats.com/rider/joris-delbove,0,132.8,16.6,Average
B. KOERDT,Team Picnic PostNL,All-rounders,8,True,1.1,KOERDT Bjorn,314.0,127.0,164.0,GB,Team Picnic PostNL,https://www.procyclingstats.com/rider/bjoern-koerdt,0,134.4,16.8,Average
A. DE GENDT,Pinarello-Q.36.5 Pro Cycling Team,All-rounders,8,True,1.0,DE GENDT Aimé,121.0,281.0,299.0,BE,Pinarello Q36.5 Pro Cycling Team,https://www.procyclingstats.com/rider/aime-de-gendt,0,284.6,35.575,Good
D. HOWSON,Pinarello-Q.36.5 Pro Cycling Team,Climbers,8,True,1.0951612903225807,HOWSON Damien,1123.0,15.0,64.0,AU,Pinarello Q36.5 Pro Cycling Team,https://www.procyclingstats.com/rider/damien-howson,0,24.8,3.1,Poor
M. FRIGO,NSN Cycling Team,Climbers,8,True,1.1,FRIGO Marco,409.0,90.0,340.0,IT,NSN Cycling Team,https://www.procyclingstats.com/rider/marco-frigo,0,140.0,17.5,Average
M. HEßMANN,Movistar Team,All-rounders,8,True,1.1,HESSMANN Michel,668.0,44.0,66.0,DE,Movistar Team,https://www.procyclingstats.com/rider/michel-hessmann,0,48.4,6.05,Poor
L. CRAPS,Lotto Intermarché,All-rounders,8,True,1.1,CRAPS Lars,583.0,56.0,130.0,BE,Lotto Intermarché,https://www.procyclingstats.com/rider/lars-craps,0,70.8,8.85,Poor
H. ARTZ,Lotto Intermarché,All-rounders,8,True,1.1,ARTZ Huub,440.0,81.0,137.0,NL,Lotto Intermarché,https://www.procyclingstats.com/rider/huub-artz,1,92.2,12.10125,Poor
L. GERMANI,Groupama-FDJ United,All-rounders,8,True,1.1,GERMANI Lorenzo,677.0,43.0,106.0,IT,Groupama - FDJ United,https://www.procyclingstats.com/rider/lorenzo-germani,0,55.6,6.95,Poor
L. NERURKAR,EF Education - Easypost,Climbers,8,True,1.1,NERURKAR Lukas,284.0,144.0,256.0,GB,EF Education - EasyPost,https://www.procyclingstats.com/rider/lukas-nerurkar,0,166.4,20.8,Average
J. OTRUBA,Caja Rural-Seguros RGA,All-rounders,8,True,1.1,OTRUBA Jakub,803.0,33.0,58.0,CZ,Caja Rural - Seguros RGA,https://www.procyclingstats.com/rider/jakub-otruba,0,38.0,4.75,Poor
S. BERWICK,Caja Rural-Seguros RGA,Climbers,8,True,1.1,BERWICK Sebastian,70.0,392.0,428.0,AU,Caja Rural - Seguros RGA,https://www.procyclingstats.com/rider/sebastian-berwick,2,399.2,54.89,Excellent
V. VAN MECHELEN,Bahrain Victorious,All-rounders,8,True,1.0,VAN MECHELEN Vlad,636.0,48.0,85.0,BE,Bahrain - Victorious,https://www.procyclingstats.com/rider/vlad-van-mechelen,0,55.4,6.925,Poor
E. PLANCKAERT,Alpecin-Premier Tech,All-rounders,8,True,1.1,PLANCKAERT Edward,672.0,44.0,116.0,BE,Alpecin - Premier Tech,https://www.procyclingstats.com/rider/edward-planckaert,0,58.4,7.3,Poor
C. BRAZ AFONSO,Groupama-FDJ United,Climbers,8,True,1.0,BRAZ AFONSO Clément,210.0,193.0,239.0,FR,Groupama - FDJ United,https://www.procyclingstats.com/rider/clement-braz-afonso,1,202.2,26.53875,Good
M. MAYRHOFER,Tudor Pro Cycling Team,All-rounders,8,True,1.0,MAYRHOFER Marius,780.0,35.0,220.0,DE,Tudor Pro Cycling Team,https://www.procyclingstats.com/rider/marius-mayrhofer,0,72.0,9.0,Poor
N. RAISBERG,NSN Cycling Team,Sprinters,8,True,1.0,RAISBERG Nadav,628.0,49.0,79.0,IL,NSN Cycling Team,https://www.procyclingstats.com/rider/nadav-raisberg,2,55.0,7.562500000000001,Poor
A. SKAARSETH,Uno-X Mobility,All-rounders,8,True,1.1,SKAARSETH Anders,546.0,60.0,87.0,NO,Uno-X Mobility,https://www.procyclingstats.com/rider/anders-skaarseth,1,65.4,8.583750000000002,Poor
S. OLDANI,Caja Rural-Seguros RGA,Sprinters,8,True,1.1,OLDANI Stefano,319.0,123.0,158.0,IT,Caja Rural - Seguros RGA,https://www.procyclingstats.com/rider/stefano-oldani,0,130.0,16.25,Average
O. RIESEBEEK,Alpecin-Premier Tech,All-rounders,8,True,1.0,RIESEBEEK Oscar,,0.0,20.0,NL,Alpecin-Premier Tech,https://www.procyclingstats.com/rider/oscar-riesebeek,0,4.0,0.5,Poor
J. TRATNIK,Red Bull - BORA - hansgrohe,All-rounders,8,True,1.1,TRATNIK Jan,644.0,47.0,60.0,SI,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/jan-tratnik,0,49.6,6.2,Poor
M. HALLER,Tudor Pro Cycling Team,All-rounders,8,True,1.0,HALLER Marco,600.0,53.0,158.0,AT,Tudor Pro Cycling Team,https://www.procyclingstats.com/rider/marco-haller,0,74.0,9.25,Poor
J. SHAW,EF Education - Easypost,Climbers,8,True,1.1,SHAW James,810.0,32.0,85.0,GB,EF Education - EasyPost,https://www.procyclingstats.com/rider/james-shaw,0,42.6,5.325,Poor
A. CHARMIG,Uno-X Mobility,Climbers,8,True,1.0,CHARMIG Anthon,158.0,240.0,366.0,DK,Uno-X Mobility,https://www.procyclingstats.com/rider/anthon-charmig,1,265.2,34.8075,Good
M. BURGAUDEAU,TotalEnergies,All-rounders,8,True,1.0,BURGAUDEAU Mathieu,773.0,35.0,86.0,FR,TotalEnergies,https://www.procyclingstats.com/rider/mathieu-burgaudeau,0,45.2,5.65,Poor
N. OLIVEIRA,Movistar Team,All-rounders,8,True,1.1,OLIVEIRA Nelson,479.0,71.0,102.0,PT,Movistar Team,https://www.procyclingstats.com/rider/nelson-oliveira,0,77.2,9.65,Poor
P. EENKHOORN,Soudal Quick-Step,All-rounders,8,True,1.0,EENKHOORN Pascal,619.0,50.0,179.0,NL,Soudal Quick-Step,https://www.procyclingstats.com/rider/pascal-eenkhoorn,0,75.8,9.475,Poor
K. GENIETS,Groupama-FDJ United,All-rounders,8,True,1.1,GENIETS Kevin,705.0,40.0,58.0,LU,Groupama - FDJ United,https://www.procyclingstats.com/rider/kevin-geniets,0,43.6,5.45,Poor
J. RICKAERT,Alpecin-Premier Tech,All-rounders,8,True,1.0,RICKAERT Jonas,767.0,35.0,87.0,BE,Alpecin - Premier Tech,https://www.procyclingstats.com/rider/jonas-rickaert,0,45.4,5.675,Poor
S. DILLIER,Alpecin-Premier Tech,All-rounders,8,True,1.0,DILLIER Silvan,769.0,35.0,70.0,CH,Alpecin - Premier Tech,https://www.procyclingstats.com/rider/silvan-dillier,0,42.0,5.25,Poor
D. TONEATTI,XDS Astana Team,All-rounders,7,True,1.1,TONEATTI Davide,299.0,135.0,135.0,IT,XDS Astana Team,https://www.procyclingstats.com/rider/davide-toneatti,0,135.0,19.285714285714285,Average
A. ROMELE,XDS Astana Team,All-rounders,7,True,1.1,ROMELE Alessandro,408.0,90.0,95.0,IT,XDS Astana Team,https://www.procyclingstats.com/rider/alessandro-romele,0,91.0,13.0,Average
M. ZIJLAARD,Tudor Pro Cycling Team,Sprinters,7,True,1.1,ZIJLAARD Maikel,596.0,53.0,71.0,NL,Tudor Pro Cycling Team,https://www.procyclingstats.com/rider/maikel-zijlaard,0,56.6,8.085714285714285,Poor
N. BREUILLARD,TotalEnergies,Climbers,7,True,1.1,BREUILLARD Nicolas,272.0,150.0,191.0,FR,TotalEnergies,https://www.procyclingstats.com/rider/nicolas-breuillard,0,158.2,22.599999999999998,Good
M. CAMPRUBI  PIJUAN,Pinarello-Q.36.5 Pro Cycling Team,Climbers,7,True,1.0,CAMPRUBÍ Marcel,308.0,130.0,158.0,ES,Pinarello-Q.36.5 Pro Cycling Team,https://www.procyclingstats.com/rider/marcel-camprubi,1,135.6,20.34,Average
X. AZPARREN IRURZUN,Pinarello-Q.36.5 Pro Cycling Team,All-rounders,7,True,1.0,AZPARREN Xabier Mikel,730.0,38.0,56.0,ES,Pinarello Q36.5 Pro Cycling Team,https://www.procyclingstats.com/rider/xabier-mikel-azparren-irurzun,0,41.6,5.942857142857143,Poor
M. LEONARD,EF Education - Easypost,All-rounders,7,True,1.1,LEONARD Michael,473.0,72.0,137.0,CA,EF Education - EasyPost,https://www.procyclingstats.com/rider/michael-leonard1,0,85.0,12.142857142857142,Poor
D. NOVAK,UAE Team Emirates XRG,All-rounders,7,True,1.0,NOVAK Domen,984.0,21.0,81.0,SI,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/domen-novak,0,33.0,4.714285714285714,Poor
R. VAN SINTMAARTENSDIJK,Lotto Intermarché,All-rounders,7,True,1.0,VAN SINTMAARTENSDIJK Roel,904.0,25.0,55.0,NL,Lotto Intermarché,https://www.procyclingstats.com/rider/roel-van-sintmaartensdijk,0,31.0,4.428571428571429,Poor
T. GACHIGNARD,TotalEnergies,All-rounders,7,True,1.0,GACHIGNARD Thomas,805.0,33.0,91.0,FR,TotalEnergies,https://www.procyclingstats.com/rider/thomas-gachignard,0,44.6,6.371428571428572,Poor
S. MONIQUET,Cofidis,Climbers,7,True,1.1,MONIQUET Sylvain,936.0,24.0,169.0,BE,Cofidis,https://www.procyclingstats.com/rider/sylvain-moniquet,0,53.0,7.571428571428571,Poor
N. DENZ,Red Bull - BORA - hansgrohe,All-rounders,7,True,1.1,DENZ Nico,439.0,81.0,157.0,DE,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/nico-denz,1,96.2,14.430000000000001,Average
L. VERVAEKE,Soudal Quick-Step,Climbers,7,True,1.0,VERVAEKE Louis,610.0,51.0,121.0,BE,Soudal Quick-Step,https://www.procyclingstats.com/rider/louis-vervaeke,1,65.0,9.750000000000002,Poor
J. BERNARD,Lidl-Trek,All-rounders,7,True,1.0,BERNARD Julien,483.0,71.0,151.0,FR,Lidl - Trek,https://www.procyclingstats.com/rider/julien-bernard,0,87.0,12.428571428571429,Poor
L. DURBRIDGE,Team Jayco AlUla,All-rounders,7,True,1.0,DURBRIDGE Luke,830.0,30.0,55.0,AU,Team Jayco AlUla,https://www.procyclingstats.com/rider/luke-durbridge,0,35.0,5.0,Poor
M. LOUVEL,NSN Cycling Team,All-rounders,7,True,1.0,LOUVEL Matis,629.0,49.0,126.0,FR,NSN Cycling Team,https://www.procyclingstats.com/rider/matis-louvel,0,64.4,9.200000000000001,Poor
J. BIERMANS,Cofidis,All-rounders,7,True,1.1,BIERMANS Jenthe,238.0,172.0,264.0,BE,Cofidis,https://www.procyclingstats.com/rider/jenthe-biermans,0,190.4,27.2,Good
A. KLUCKERS,Tudor Pro Cycling Team,All-rounders,6,True,1.1,KLUCKERS Arthur,509.0,65.0,72.0,LU,Tudor Pro Cycling Team,https://www.procyclingstats.com/rider/arthur-kluckers,1,66.4,11.620000000000003,Poor
J. SÜTTERLIN,Team Jayco AlUla,All-rounders,6,True,1.1,SÜTTERLIN Jasha,422.0,86.0,98.0,DE,Team Jayco AlUla,https://www.procyclingstats.com/rider/jasha-sutterlin,0,88.4,14.733333333333334,Average
M. WALKER,EF Education - Easypost,All-rounders,6,True,1.1,WALKER Max,741.0,37.0,52.0,GB,EF Education - EasyPost,https://www.procyclingstats.com/rider/max-walker,0,40.0,6.666666666666667,Poor
