fantasy_name,team,category,price,pcs_match_found,match_similarity,pcs_name,pcs_rank,pcs_points_2025,pcs_points_12m,pcs_nationality,pcs_team,pcs_url,wins_2026,value_points,points_per_credit,value_category
D. GEE,Lidl-Trek,Leaders,16,True,1.0,GEE-WEST Derek,40.0,496.0,496.0,CA,Lidl - Trek,https://www.procyclingstats.com/rider/derek-gee,1,496.0,32.550000000000004,Good
A. DE LIE,Lotto Intermarché,Sprinters,16,True,1.0,DE LIE Arnaud,68.0,393.0,1803.0,BE,Lotto Intermarché,https://www.procyclingstats.com/rider/arnaud-de-lie,2,675.0,46.40625000000001,Great
J. TARLING,Netcompany Ineos,All-rounders,16,True,1.1,TARLING Joshua,364.0,106.0,201.0,GB,Netcompany INEOS,https://www.procyclingstats.com/rider/joshua-tarling,1,125.0,8.203125,Poor
B. MCNULTY,UAE Team Emirates XRG,Climbers,16,True,1.1,MCNULTY Brandon,129.0,268.0,1199.0,US,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/brandon-mcnulty,0,454.2,28.3875,Good
S. KUSS,Team Visma | Lease a Bike,Climbers,16,True,1.1,KUSS Sepp,130.0,268.0,730.0,US,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/sepp-kuss,1,360.4,23.65125,Good
C. RODRIGUEZ,Netcompany Ineos,Climbers,16,True,1.0,RODRÍGUEZ Carlos,175.0,223.0,237.0,ES,Netcompany INEOS,https://www.procyclingstats.com/rider/carlos-rodriguez-cano,1,225.8,14.818125000000002,Average
E. BERNAL GOMEZ,Netcompany Ineos,Leaders,16,True,1.0,BERNAL Egan,44.0,483.0,919.0,CO,Netcompany INEOS,https://www.procyclingstats.com/rider/egan-bernal,1,570.2,37.419375,Great
D. MARTINEZ POVEDA,Red Bull - BORA - hansgrohe,Climbers,16,True,1.0,MARTÍNEZ Daniel Felipe,88.0,342.0,347.0,CO,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/daniel-felipe-martinez,0,343.0,21.4375,Average
M. STORER,Tudor Pro Cycling Team,Leaders,16,True,1.0,STORER Michael,53.0,443.0,898.0,AU,Tudor Pro Cycling Team,https://www.procyclingstats.com/rider/michael-storer,0,534.0,33.375,Good
J. HINDLEY,Red Bull - BORA - hansgrohe,Climbers,16,True,1.0,HINDLEY Jai,41.0,492.0,942.0,AU,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/jai-hindley,0,582.0,36.375,Good
M. MOHORIC,Bahrain Victorious,All-rounders,16,True,1.0,MOHORIČ Matej,245.0,167.0,333.0,SI,Bahrain - Victorious,https://www.procyclingstats.com/rider/matej-mohoric,0,200.2,12.5125,Poor
B. O'CONNOR,Team Jayco AlUla,Leaders,16,True,1.0,O'CONNOR Ben,102.0,314.0,679.0,AU,Team Jayco AlUla,https://www.procyclingstats.com/rider/ben-o-connor,0,387.0,24.1875,Good
B. TULETT,Team Visma | Lease a Bike,All-rounders,15,True,1.1,TULETT Ben,72.0,376.0,614.0,GB,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/ben-tulett,1,423.6,29.652000000000005,Good
A. TIBERI,Bahrain Victorious,Leaders,15,True,1.1,TIBERI Antonio,43.0,487.0,751.0,IT,Bahrain - Victorious,https://www.procyclingstats.com/rider/antonio-tiberi,1,539.8,37.786,Great
J. NARVAEZ PRADO,UAE Team Emirates XRG,All-rounders,15,True,1.0,NARVÁEZ Jhonatan,81.0,359.0,971.0,EC,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/jhonatan-narvaez,4,481.4,38.512,Great
K. VAUQUELIN,Netcompany Ineos,Leaders,15,True,1.1,VAUQUELIN Kévin,46.0,473.0,865.0,FR,Netcompany INEOS,https://www.procyclingstats.com/rider/kevin-vauquelin,1,551.4,38.598,Great
T. STEWART,NSN Cycling Team,Sprinters,15,True,1.0,STEWART Jake,1043.0,18.0,95.0,GB,NSN Cycling Team,https://www.procyclingstats.com/rider/jake-stewart,0,33.4,2.2266666666666666,Poor
P. ACKERMANN,Team Jayco AlUla,Sprinters,15,True,1.0,ACKERMANN Pascal,237.0,172.0,266.0,DE,Team Jayco AlUla,https://www.procyclingstats.com/rider/pascal-ackermann,0,190.8,12.72,Poor
B. HEALY,EF Education - Easypost,All-rounders,15,True,1.0,HEALY Ben,260.0,158.0,908.0,IE,EF Education - EasyPost,https://www.procyclingstats.com/rider/ben-healy,0,308.0,20.533333333333335,Average
L. MARTINEZ,Bahrain Victorious,Climbers,15,True,1.0,MARTINEZ Lenny,16.0,853.0,1157.0,FR,Bahrain - Victorious,https://www.procyclingstats.com/rider/lenny-martinez,3,913.8,70.05799999999999,Excellent
M. MATTHEWS,Team Jayco AlUla,Sprinters,15,True,1.1,MATTHEWS Michael,351.0,109.0,392.0,AU,Team Jayco AlUla,https://www.procyclingstats.com/rider/michael-matthews,1,165.6,11.591999999999999,Poor
Q. SIMMONS,Lidl-Trek,All-rounders,15,True,1.0,SIMMONS Quinn,231.0,175.0,519.0,US,Lidl - Trek,https://www.procyclingstats.com/rider/quinn-simmons,2,243.8,17.878666666666668,Average
G. CICCONE,Lidl-Trek,Climbers,15,True,1.1,CICCONE Giulio,55.0,439.0,1124.0,IT,Lidl - Trek,https://www.procyclingstats.com/rider/giulio-ciccone,2,576.0,42.24,Great
J. ALAPHILIPPE,Tudor Pro Cycling Team,All-rounders,15,True,1.1,ALAPHILIPPE Julian,571.0,57.0,602.0,FR,Tudor Pro Cycling Team,https://www.procyclingstats.com/rider/julian-alaphilippe,0,166.0,11.066666666666666,Poor
W. KELDERMAN,Team Visma | Lease a Bike,Climbers,15,True,1.0,KELDERMAN Wilco,343.0,112.0,174.0,NL,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/wilco-kelderman,1,124.4,8.708,Poor
P. BAUHAUS,Bahrain Victorious,Sprinters,15,True,1.0,BAUHAUS Phil,356.0,107.0,241.0,DE,Bahrain - Victorious,https://www.procyclingstats.com/rider/phil-bauhaus,0,133.8,8.92,Poor
