name,points_12m
DARBELLAY Valentin,43.0
REDAE Bizay Tesfu,43.0
HOULE Hugo,42.0
SERRANO Gonzalo,42.0
BAX Sjoerd,42.0
GONZÁLEZ Abner,42.0
MACKELLAR Alastair,42.0
ROSENLUND Stian,42.0
TODOME Yuhi,42.0
MOURIS Wessel,42.0
REEMEIJER Niels,42.0
LANDBO Mads,42.0
BESSEGA Tommaso,42.0
HERREÑO Martin Santiago,42.0
SIRIRONNACHAI Sarawut,41.0
SOTO Antonio Jesús,41.0
FINKŠT Tilen,41.0
PRICE-PEJTERSEN Johan,41.0
BÉNÉTEAU Lucas,41.0
GELDERS Gil,41.0
ŠTAJNAR Mihael,41.0
PRIETO José Antonio,41.0
TAKHIROV Diyor,41.0
WAITES Thomas,41.0
BARRY Ashlin,41.0
TOUZÉ Damien,40.0
JENNER Samuel,40.0
ARCHIBOLD Franklin,40.0
HODEG Álvaro José,40.0
NUNES Hugo,40.0
WALTERS Red,40.0
ARDILA Andrés Camilo,40.0
VERSCHUREN Killian,40.0
POMORSKI Michał,40.0
OKAMIKA Ander,40.0
HANSEN Alexander Arnt,40.0
MASCIARELLI Lorenzo,40.0
PEDERSEN Henrik,40.0
MASENGESHO Vainqueur,40.0
KHADBAATAR Temuulen,40.0
FOFONOV Artëm,40.0
DELLE VEDOVE Alessio,40.0
VILLA Giacomo,40.0
BORREMANS Kasper,40.0
TESFAY Amanuel,40.0
EL KOURAJI Mohcine,39.0
BARONCINI Filippo,39.0
HOUCOU Emmanuel,39.0
BOLLE Bert,39.0
O'BRIEN Liam,39.0
FERNÁNDEZ Rubén,38.0
SHNYRKO Aliaksei,38.0
GÓMEZ Germán Darío,38.0
VAN BELLE Loe,38.0
URIARTE Diego,38.0
VAN BEKKUM Darren,38.0
BOWER Lewis,38.0
BOULET Eliott,38.0
DIJKMAN Daan,38.0
PRINGLE Nate,38.0
TONELLI Alessandro,37.0
HENAO Sergio,37.0
PETERS Nans,37.0
KUKRLE Michael,37.0
REYES Yeison Sebastian,37.0
PIRA Yesid Albeiro,37.0
GAJDULEWICZ Mateusz,37.0
BUTTIGIEG Aidan,37.0
METZGER Gabriel,37.0
MONTI Alberto,37.0
RUIZ Sebastian,37.0
GUGLIELMI Simon,36.0
MORA Luis Guillermo,36.0
DINA Márton,36.0
PARISINI Nicolò,36.0
D'AIUTO Filippo,36.0
KONINGS Roan,36.0
XUE Ming,36.0
MARTINSEN Toralf Rydningen,36.0
ARRIGHETTI Nicolò,36.0
RAMÍREZ Donovan,36.0
MORALES Christopher,36.0
MAAS Jan,35.0
BASTIAENS Ayco,35.0
ASSAL Mohamed Nadjib,35.0
MARSMAN Tim,35.0
PORTER Rudy,35.0
NG Pak Hang,35.0
MORO Manlio,35.0
CONFORTI Lorenzo,35.0
AGRICOLA Danijel,35.0
ABREU Jorge,34.0
KIRSCH Alex,34.0
SAIDI Nassim,34.0
ABAY Burak,34.0
MIKAYILZADE Musa,34.0
GERMOSO Rudy,34.0
DUARTE Emanuel,34.0
KELEMEN Petr,34.0
WHITE Conor,34.0
ROJAS Gabriel Francisco,34.0
ŘEHA Filip,34.0
OOSTERLINCK Joes,34.0
JEAN Victor,34.0
BURNS Luke,34.0
CAPRA Thomas,34.0
ANTONENKO Heorhii,34.0
PHẠM Lê Xuân Lộc,34.0
ZÜGER Andrin,34.0
BAUDRY Julian,34.0
CISNEROS Jose Said,34.0
LATOUR Pierre,33.0
GROSU Eduard-Michael,33.0
HEIDEMANN Miguel,33.0
FORSSELL Hugo,33.0
WANG Gustav,33.0
MARTE Jesus Roniel,33.0
VAN HAUTEGEM Leander,33.0
ROTTMANN Jonathan Malte,33.0
MÉNDEZ Arlex José,33.0
FOUGNER Eivind Broholt,33.0
MULUGETA Yafiet,33.0
ZABELINSKIY Bogdan,33.0
BOUQUET Axel,33.0
VITTINGHUS STOKBRO Sylvester,33.0
CARSTENSEN Lucas,32.0
DE PLUS Laurens,32.0
BALLABIO Giacomo,32.0
PHONASA Thavone,32.0
ETXEBERRIA Asier,32.0
PETTITI Nicolò,32.0
CZABOK Konrad,32.0
LOPEZ Carlos Juan,32.0
KOECH Silas,32.0
GAUTHIER Jérôme,32.0
MAULANA Astnan,32.0
BLAISE Arthur,32.0
YEMANE Even,32.0
OKA Atsushi,31.0
LUCCA Riccardo,31.0
MARTÍN Alex,31.0
ED DOGHMY Achraf,31.0
BORTOLUZZI Giovanni,31.0
KAJAMINI Florian Samuel,31.0
ZAMPERINI Edoardo,31.0
RAGILO Frank Aron,31.0
GARCÍA Carlos Alfonso,31.0
GODFROID Olivier,31.0
ROYAN Muhammad Andy,31.0
HAUGLAND Kasper,31.0
GUAVITA Cesar David,31.0
KAM Chin Pok,31.0
ROBERTS Reef,31.0
AL MAYYAS Mohammad,31.0
KARIĆ Vedad,30.0
DEL PINO Jesus,30.0
VERGAERDE Otto,30.0
LUTSENKO Alexey,30.0
FRISON Frederik,30.0
KRUIJSWIJK Steven,30.0
DE BUYST Jasper,30.0
PETILLI Simone,30.0
WILLIAMS Cory,30.0
BRUNEL Alexys,30.0
BAILEY Zefal Trevor,30.0
NUHA Blerton,30.0
TAROZZI Manuele,30.0
KAGIMU Charles,30.0
CHIKWAKA Andrew,30.0
MERIS Sergio,30.0
GALIMBERTI Lorenzo,30.0
RODRÍGUEZ Brandon Ulises,30.0
CHAVARRIA Derrick,30.0
BAGATIN Christian,30.0
MARRIAGE Zac,30.0
FAURE PROST Alexy,30.0
JELE Kwanele,30.0
GARZÓN Óscar Santiago,30.0
INGEBRIGTSEN Storm,30.0
DELLAI Mohamed Aziz,30.0
MENÉNDEZ Héctor,30.0
GIRMAY Mewael,30.0
DA CRUZ Nelio,30.0
BOMFIM DE ALMEIDA Luiz Fernando,30.0
BRADÁČ Adam,30.0
SIMSON Jorryn,30.0
ALPHONSE Denver,30.0
ȘEREMET Ilie,30.0
DEPE Serdar Anıl,29.0
CRETTI Luca,29.0
ROSSI João Pedro,29.0
ARRIOLABENGOA Julen,29.0
MINTEGI Iker,29.0
ZERAY Nahom,29.0
AMARI Hamza,29.0
DODD Matthew,29.0
RIŠKA Richard,29.0
HAUG Kieran,29.0
PATTINSON Tomos,29.0
TORRES Pablo,29.0
SCHWARZBACHER Matthias,29.0
ALREJJAL Mo'men,29.0
CHAVES Esteban,28.0
CHAWCHIANGKWANG Peerapol,28.0
RÖBER Dominik,28.0
GIANNOUTSOS Miltiadis,28.0
WRIGHT Paul,28.0
MOYATA Eduardo,28.0
REES Brent,28.0
ANDERSEN Kasper,28.0
VAN DE PUTTE Victor,28.0
VERMOOTE Jelle,28.0
GOJKOVIĆ Nicolas,28.0
MILAN Matteo,28.0
BOBOSHEROV Farrukh,28.0
ARSAC Rémi,28.0
GIAIMI Luca,28.0
HAVERDINGS David,28.0
ROMEO Sergio,28.0
DYBALL Benjamin,27.0
CLARKE Simon,27.0
TAMINIAUX Lionel,27.0
GUERNALEC Victor,27.0
NENCINI Tommaso,27.0
LOCK Dennis,27.0
YILMAZ Ramazan,27.0
EL ALOUANI Driss,27.0
SCHOOFS Jasper,27.0
BAKER Rowan,27.0
RIZQI Dimas Nur Fadhil,27.0
AÏT EL ABDIA Anass,26.0
PAWLAK Tobiasz,26.0
GIDICH Yevgeniy,26.0
GUÉGAN Maël,26.0
KIMANI Wangai Evan,26.0
VANDEPUTTE Niels,26.0
D'AMATO Andrea,26.0
CALDERÓN Sebastian,26.0
ALHAMMADI Ali Eissa,26.0
KÜÜT Oskar,26.0
NEAVES Jadian,26.0
SANCHO José Pablo,26.0
LIM Nash,26.0
ASCONEGUY Roderyck,25.0
ROOSEN Timo,25.0
THOMAS Geraint,25.0
WOODS Michael,25.0
GONZALES Freddy,25.0
JOUSSEAUME Alan,25.0
HVIDEBERG Jonas Hem,25.0
MAINGUENAUD Tom,25.0
IMAMURA Shunsuke,25.0
MUHOZA Eric,25.0
PICIU Mattew-Denis,25.0
ALUSTIZA Nicolás,25.0
SODJEDE Ricardo,25.0
PUTZ Sebastian,25.0
CAMPBELL Max,25.0
KAMBERAJ Valentino,25.0
MENDES Diego De Jesus,25.0
STOYNEV Emil,25.0
RAMSAY Andrew,25.0
NAVAS Kevin,25.0
ØRN-KRISTOFF Felix,25.0
PODLUZHNYY Mikhail,25.0
HLADY Gavin,25.0
GRANADOS Alejandro,25.0
HALDIMANN Guillaume,25.0
SLESARENKO Ilya,25.0
WHITTAKER Alexander,25.0
ZOIDL Riccardo,24.0
PELIKÁN János,24.0
BATTISTELLA Samuele,24.0
CAMPBELL Akill,24.0
SZÓSTKA Paweł,24.0
DESAL Ceriel,24.0
CASTAÑO Sebastián Alexander,24.0
SCHULTZ Elliot,24.0
KUYPERS Gerben,24.0
KAŠKO Dávid,24.0
LÓPEZ DE ABETXUKO Andoni,24.0
RUIZ Robinson Steven,24.0
BUDZIŃSKI Tomasz,24.0
RAMÍREZ Joseph Gerardo,24.0
HOFBAUER Philipp,24.0
KEPPLINGER Rainer,24.0
BARRILLOT Bohémond,24.0
HUE Antoine,24.0
MESA Santiago,24.0
GUTIERREZ Carlos Alberto,24.0
CHARROIS Leo,24.0
AMBROSSI Facundo Nicolás,24.0
BERNAS Paweł,23.0
ABDUL HALIL Mohamad Izzat Hilmi,23.0
GONOV Lev,23.0
KROONEN Max,23.0
ĐURIĆ Đorđe,23.0
ESPINOSA Bolivar,23.0
BALLERSTEDT Maurice,23.0
ROJAS Brandon Alejandro,23.0
PROCTOR-PARKER Dylan,23.0
BENITO Adrián,23.0
FERREIRA DE MELO Alex,23.0
VAN BYLEN Liam,23.0
BUCK JONES Huw,23.0
NOVÁK Samuel,23.0
DELGADO David,23.0
BROOKES Joseph,23.0
DE CLERCQ Mathijs,23.0
MÉNDEZ Diego Alejandro,23.0
DOMÍNGUEZ José Alberto,23.0
MARSH Robert,22.0
DELAPLACE Anthony,22.0
FORTIN Filippo,22.0
NIZZOLO Giacomo,22.0
YEO Boon Kiak,22.0
ERIKSSON Lucas,22.0
FREYER Martin,22.0
DOUBEY Fabien,22.0
ILIĆ Ognjen,22.0
EL ARBAOUI Adil,22.0
LÓPEZ Robinson Fabián,22.0
NGUYỄN Tuấn Vũ,22.0
PAJUR Markus,22.0
KLOPPENBORG Lukas Sulaj,22.0
DAHL Gustav Frederik,22.0
REMKHI Rudolf,22.0
BORRESCH Julian,22.0
AGOSTINACCHIO Filippo,22.0
HAUGSTED Conrad,22.0
DUBA Maxime,22.0
NASTEVSKI Slobodan,22.0
MILOSTIC Lindon,22.0
DIALLO Tiémoko,22.0
TREPTE Liam,22.0
NISU Oskar,21.0
KUROEDA Shiki,21.0
FUENTES Ángel,21.0
CARVALHO Gonçalo,21.0
VARELA Leandro,21.0
DA SILVA SANTOS Vinicius,21.0
ARAMAYO Jose Manuel,21.0
MAŚLAK Piotr,21.0
FRYDKJÆR Patrick Boje,21.0
GONZELI Otavio Augusto,21.0
DORUSSEN Johan,21.0
GAL Ryan,21.0
VEDEL Gabin,21.0
FLÓREZ Samuel,21.0
TAKÁCS Zsombor Tamás,21.0
BOGDANOVIČS Māris,20.0
BOROŠ Michael,20.0
THALMANN Roland,20.0
RIESEBEEK Oscar,20.0
LAENGEN Vegard Stake,20.0
ARCAS Jorge,20.0
OURSELIN Paul,20.0
GREGAARD Jonas,20.0
KNOX James,20.0
STOKBRO Andreas,20.0
ERIKSSON Jacob,20.0
URIANSTAD BUGGE Martin,20.0
OCAMPO Victor,20.0
DORENBOS Yanne,20.0
COSTA Fábio,20.0
RODRÍGUEZ Diego Leonel,20.0
DOMÍNGUEZ David,20.0
SOMMER Jan,20.0
KNIGHT Oliver,20.0
PIRAS Andrea,20.0
TENDON Arnaud,20.0
BOCHAROV Dmitriy,20.0
VERCOUILLIE Victor,20.0
STENNING Oliver,20.0
BEREZNYAK Aleksandr,20.0
GEERAERTS Ferre,20.0
EGHOLM Kristian,20.0
HEFFERNAN William,20.0
LANGE Tyler,20.0
GRYGOWSKI Hubert,20.0
DE BRUYCKERE Kay,20.0
PEACE Oliver,20.0
CATTANI Alessandro,20.0
LEIDERT Louis,20.0
NESPOLI Lorenzo,20.0
SOLEN Keije,20.0
LAYRAC Gabriel,20.0
ROY Léo,20.0
WU Chun Yin,20.0
TORRES Jaime,20.0
QU Chengjun,20.0
SCHEMPP Oscar,20.0
SHERRY Gavin,20.0
BATMUNKH Maral-Erdene,19.0
ÖRKEN Ahmet,19.0
SOUPE Geoffrey,19.0
KHALMURATOV Muradjan,19.0
MANZIN Lorrenzo,19.0
STEWART Mark,19.0
KUZMIN Anton,19.0
STITES Tyler,19.0
NOLDE Tobias,19.0
CHAIYASOMBAT Thanakhan,19.0
SILVA Afonso,19.0
UGA Ryuki,19.0
JOALLAND Yaël,19.0
PLACE Maxence,19.0
DUNHAM Ethan,19.0
QUIROZ Tomas,19.0
AGUILAR Luis,19.0
GREENWOOD Matthew,19.0
GONÇALVES Diogo,19.0
MILAKONG Ananxay,19.0
LEMES Bruno Martins,19.0
PEREZ Anthony,18.0
PAREDES Anderson Timoteo,18.0
FERNÁNDEZ Miguel Ángel,18.0
MEREDITH Charlie,18.0
PIETROBON Andrea,18.0
ROSLI Muhammad Nur Aiman Bin,18.0
PEÑA Wilson Estiben,18.0
HEMING Miká,18.0
KOSSOKO Sadikou Jérémie,18.0
CASTILLO Kevin David,18.0
KOTSAKIS Francisco,18.0
BAHODIROV Behzod,18.0
BAMBAGIONI Tommaso,18.0
MERLÖV Ville,18.0
HAYASHIBARA Shoma,18.0
TUMINELLO Christian,18.0
DE KEERSMAEKER Mathias,18.0
BAEZA Cristobal,18.0
HUPPERTZ Joshua,17.0
VAN SCHIP Jan-Willem,17.0
QUAEDVLIEG Lars,17.0
KLARIS Magnus Bak,17.0
JURADO Christofer Robín,17.0
BANASZEK Norbert,17.0
LEWIS Adam,17.0
SIBANDA Mthokozisi,17.0
BUSTAMANTE Adrián,17.0
ALIYARI Aidin,17.0
GIL Angel Alexander,17.0
RASENBERG Martijn,17.0
SOWOU Rémi,17.0
GINESTRA Lorenzo,17.0
EPIS Giosuè,17.0
GARCÍA José María,17.0
OBANDO Bryan Raul,17.0
ANTROBUS Lucky,17.0
MACKIE Ewan,17.0
RETEGI Mikel,17.0
VILORIA Enmanuel David,17.0
TUYIZERE Etienne,17.0
LAZAREVIĆ Miloš,17.0
BARBAS Rafael,17.0
MEMEDI Memet,17.0
MARIS Jesse,17.0
FLEMMING Abbiel,17.0
JANIKULOV Samandar,17.0
METAWEA Mahmoud,17.0
CHOFOR Fabrice,17.0
TARLING Finlay,17.0
SAMBINELLO Enea,17.0
KASTRATI Albion,17.0
SMITH Calvin,17.0
ATTAI Corneil Kokou,17.0
LUKIĆ Leon,17.0
JONES Barry,17.0
LI You,17.0
MASUDA Nariyuki,16.0
REGUIGUI Youcef,16.0
ABERASTURI Jon,16.0
PASQUALON Andrea,16.0
BASSON Gustav,16.0
GALVÁN Francisco,16.0
TAILLANDIER Axel,16.0
RETAILLEAU Valentin,16.0
MALMBERG Matias,16.0
BELLENS Jarno,16.0
KMIELIAUSKAS Rokas,16.0
BETTENDORFF Loïc,16.0
BDADOU Youssef,16.0
ELSAIFY Hassan,16.0
GARCIA Erlin Antonio,16.0
TERADA Yoshiki,16.0
MAGLI Lorenzo,16.0
VĂIDIAN Iustin-Ioan,16.0
MA Binyan,16.0
BULUT Samet,16.0
MACHHOLDT Magnus,16.0
AEBERSOLD Nils,16.0
DRAKOS Nikolaos Michail,16.0
ADOMAITIS Rokas,16.0
LI Yuheng,16.0
CRAUSE Pedri,16.0
ZIPPAN Nicolas,16.0
LANGELLA Lenaic,16.0
MESSEL Kevin Andre Sandli,16.0
MENGHINI Alessio,16.0
BRÉANT Romain,16.0
RODRIGUES Rúben,16.0
VAN DER WERFF Thom,16.0
SERVRANCKX Gauthier,16.0
LIGHTFOOT Mark,16.0
BLAS Blayde,16.0
VAN DEN EIJNDEN Guus,16.0
FAYOLLE Jean-Loup,16.0
GOSZCZURNY Patryk,16.0
HAFIZH Muhammad,16.0
GORDILLO Emerson Ronaldo,16.0
CHRISTOPHER Darel,15.0
PETROVSKI Stefan,15.0
CHOE Hyeong Min,15.0
BRIDGES Jyme,15.0
COMBAUD Romain,15.0
RUIZ Juan José,15.0
ANGULO Antonio,15.0
VAN HOECKE Gijs,15.0
CIMOLAI Davide,15.0
ŞAMLI Feritcan,15.0
GUERREIRO Ruben,15.0
GIBBONS Ryan,15.0
CARBONI Giovanni,15.0
WARLOP Jordi,15.0
MOLLY Kenny,15.0
JOHN Naveen,15.0
RIES Michel,15.0
PEÁK Barnabás,15.0
MUÑOZ Cristian Camilo,15.0
VANDEBOSCH Toon,15.0
DIALLO Yaya,15.0
LÓPEZ Luis Fernando Enrique,15.0
APPEL Stijn,15.0
MCBIRNEY Tim,15.0
MOHD ZARIFF Muhammad Nur Aiman,15.0
CANASTUJ José David,15.0
SOULAMA Daouda,15.0
TESTORI Michael,15.0
QUITA Ronnilan,15.0
NKUNDABERA Eric,15.0
NAUMOVSKI Bojan,15.0
ABREHA Negasi Haylu,15.0
MIAO Chengshuo,15.0
ROOTKIN-GRAY Jack,15.0
STOCKWELL Oliver,15.0
DEBAY Filimon Zerabruk,15.0
DEMAN Brem,15.0
ROTA Raúl,15.0
MARCEROU Nicola,15.0
WAFLER Tim,15.0
LIM Zhen Yu Darren,15.0
JÓNSSON Davíð,15.0
MACIEJUK Kacper,15.0
SVARRE Tobias,15.0
RADUNOVIĆ Aleksandar,15.0
MOORE Viggo,15.0
LOVIDIUS Gustav,15.0
PALASHEV Borislav,15.0
BOZZOLA Mirko,15.0
BARON Kohath,15.0
KIECK Blaine,15.0
FABRIES Ugo,15.0
FELDHOFFER Bálint,15.0
MORGAN Edward,15.0
GIALLI Matteo,15.0
CELESTIN Torea,15.0
ELSAID Omar,15.0
SINGH Vishavjeet,15.0
BEHRENS Eike,15.0
AHTOSALO Matias,15.0
BEHRENS Niklas,15.0
TOMIĆ Ivan Luka,15.0
HUTCHINSON Liam,15.0
CALDERÓN Jerónimo,15.0
SURÉN Roger,15.0
VANDEN EYNDE Mats,15.0
BABOVICH Mikita,15.0
SHAPILOV Artem,15.0
MCFARLANE Melvin,15.0
LUKOVIĆ Danilo,15.0
DE OLIVEIRA Cainã Guimarães,15.0
KAMAU Peter,15.0
GÁLVIZ Carlos Johan,14.0
GOMEZ Luis António,14.0
REYES Elvys Noel,14.0
