Meno jazdca,Tím,Kategória,Cena
"G. VERMEERSCH","Red Bull - BORA - hansgrohe","All-rounders","11"
"N. SCHULTZ","NSN Cycling Team","Climbers","11"
"P. Øxenberg","Netcompany Ineos","Climbers","11"
"M. SCHACHMANN","Soudal Quick-Step","All-rounders","11"
"L. SLOCK","Lotto Intermarché","All-rounders","11"
"L. CRAPS","Lotto Intermarché","All-rounders","11"
"S. CHUMIL GONZALEZ","Burgos Burpellet-BH","Climbers","11"
"M. APARICIO MUÑOZ","Burgos Burpellet-BH","Climbers","11"
"L. ROULAND","Cofidis","Climbers","11"
"B. RIVERA VARGAS","Netcompany Ineos","Climbers","11"
"M. BRUSTENGA MASAGUE","Equipo Kern Pharma","Sprinters","11"
"C. CANAL BLANCO","Movistar Team","All-rounders","11"
"Q. PACHER","Groupama-FDJ United","All-rounders","11"
"I. RUIZ SEDANO","Equipo Kern Pharma","All-rounders","11"
"Y. FEDOROV","XDS Astana Team","All-rounders","11"
"L. VERVAEKE","Soudal Quick-Step","All-rounders","11"
"S. MONIQUET","Cofidis","Climbers","11"
"J. BERNARD","Lidl-Trek","All-rounders","11"
"M. VAN DEN BERG","EF Education - Easypost","Sprinters","11"
"R. ROCHAS","Groupama-FDJ United","Climbers","11"
"L. WARBASSE","Tudor Pro Cycling Team","All-rounders","11"
"A. COVI","Team Jayco AlUla","All-rounders","10"
"F. DVERSNES","Uno-X Mobility","All-rounders","10"
"W. BARTA","Tudor Pro Cycling Team","All-rounders","10"
"N. EEKHOFF","Team Picnic PostNL","Sprinters","10"
"C. THORNLEY","Red Bull - BORA - hansgrohe","Leaders","10"
"M. VADER","Pinarello-Q.36.5 Pro Cycling Team","Climbers","10"
"T. GLOAG","Pinarello-Q.36.5 Pro Cycling Team","Climbers","10"
"P. BLACKMORE","NSN Cycling Team","Climbers","10"
"A. LAURANCE","Netcompany Ineos","All-rounders","10"
"S. DE SCHUYTENEER","Lotto Intermarché","Sprinters","10"
"I. COBO CAYON","Equipo Kern Pharma","Climbers","10"
"V. ALBANESE","EF Education - Easypost","Sprinters","10"
"A. RENARD","Cofidis","Sprinters","10"
"J. BURNETT","Burgos Burpellet-BH","Climbers","10"
"H. HOULE","Alpecin-Premier Tech","All-rounders","10"
"X. PICKERING","Team Jayco AlUla","Climbers","10"
"M. BELOKI FERNANDEZ","EF Education - Easypost","Climbers","10"
"G. GAROFOLI","Soudal Quick-Step","Climbers","10"
"X. AZPARREN IRURZUN","Pinarello-Q.36.5 Pro Cycling Team","All-rounders","10"
"J. BIERMANS","Cofidis","Sprinters","10"
"G. LEEMREIZE","Team Picnic PostNL","Climbers","10"
"D. TEUNS","Cofidis","All-rounders","10"
"D. RAFFERTY","EF Education - Easypost","Climbers","10"
"S. DEWULF","Decathlon CMA CGM Team","All-rounders","10"
"D. NOVAK","UAE Team Emirates XRG","All-rounders","10"
"C. HAMILTON","Team Picnic PostNL","Climbers","10"
"J. HIRT","NSN Cycling Team","Climbers","10"
"K. BOUWMAN","Team Jayco AlUla","Climbers","10"
"R. MOLARD","Groupama-FDJ United","Climbers","10"
"S. BATTISTELLA","EF Education - Easypost","All-rounders","10"
"S. DALBY","Uno-X Mobility","Climbers","9"
"R. PORTER","Team Jayco AlUla","Sprinters","9"
"D. DE PRETTO","Team Jayco AlUla","All-rounders","9"
"A. HELLEMOSE","Team Jayco AlUla","Climbers","9"
"R. TILLER","Uno-X Mobility","All-rounders","9"
"V. LAENGEN","UAE Team Emirates XRG","All-rounders","9"
"H. WILKSCH","Tudor Pro Cycling Team","Climbers","9"
"A. FAURE PROST","Team Picnic PostNL","Climbers","9"
"M. GAFFURI","Team Picnic PostNL","Climbers","9"
"W. CALZONI","Pinarello-Q.36.5 Pro Cycling Team","All-rounders","9"
"P. MARTI SORIANO","NSN Cycling Team","All-rounders","9"
"E. SVESTAD-BÅRDSENG","Netcompany Ineos","Climbers","9"
"B. TRONCHON","Groupama-FDJ United","All-rounders","9"
"M. WENZEL","Equipo Kern Pharma","Climbers","9"
"A. MACKELLAR","EF Education - Easypost","Sprinters","9"
"A. L'HOTE","Decathlon CMA CGM Team","All-rounders","9"
"C. MACIAS ESTRADA","Burgos Burpellet-BH","Sprinters","9"
"F. BUSATTO","Alpecin-Premier Tech","All-rounders","9"
"B. ROLLAND","Groupama-FDJ United","Climbers","9"
"M. BJERG","UAE Team Emirates XRG","All-rounders","9"
"G. GLIVAR","Alpecin-Premier Tech","All-rounders","9"
"M. VAN DER MEULEN","Bahrain Victorious","Climbers","9"
"S. OOMEN","Lidl-Trek","Climbers","9"
"E. PALENI","Groupama-FDJ United","All-rounders","9"
"D. URIARTE BELZUNEGI","Equipo Kern Pharma","All-rounders","9"
