Meno jazdca,Tím,Kategória,Cena
"P. HAGENES","Team Visma | Lease a Bike","Climbers","10"
"T. VAN DIJKE","Red Bull - BORA - hansgrohe","All-rounders","10"
"M. VACEK","Lidl-Trek","All-rounders","10"
"A. BALDERSTONE ROUMENS","Caja Rural-Seguros RGA","Leaders","10"
"R. DEBRUYNE","Alpecin-Premier Tech","All-rounders","10"
"D. HOOLE","Decathlon CMA CGM Team","All-rounders","10"
"A. BAUDIN","EF Education - Easypost","Climbers","10"
"B. THOMAS","Cofidis","All-rounders","10"
"R. STANNARD","Bahrain Victorious","All-rounders","10"
"E. COSTIOU","Groupama-FDJ United","Climbers","10"
"T. GUERNALEC","TotalEnergies","All-rounders","10"
"R. GARCIA PIERNA","Movistar Team","All-rounders","10"
"A. TURGIS","TotalEnergies","All-rounders","10"
"T. TRÆEN","Uno-X Mobility","Climbers","10"
"C. HARPER","Pinarello-Q.36.5 Pro Cycling Team","Climbers","10"
"J. DEGENKOLB","Team Picnic PostNL","Sprinters","10"
"W. BARGUIL","Team Picnic PostNL","Climbers","10"
"F. VERMEERSCH","UAE Team Emirates XRG","All-rounders","10"
"D. VAN BAARLE","Soudal Quick-Step","All-rounders","10"
"Q. PACHER","Groupama-FDJ United","All-rounders","10"
"N. POLITT","UAE Team Emirates XRG","All-rounders","10"
"Y. VOISARD","Tudor Pro Cycling Team","Climbers","9"
"R. PLUIMERS","Tudor Pro Cycling Team","All-rounders","9"
"F. BIESTERBOS","Team Picnic PostNL","All-rounders","9"
"F. ENGELHARDT","Team Jayco AlUla","All-rounders","9"
"T. VAN ASBROECK","NSN Cycling Team","All-rounders","9"
"L. SLOCK","Lotto Intermarché","All-rounders","9"
"B. VEISTROFFER","Lotto Intermarché","All-rounders","9"
"A. DELETTRE","TotalEnergies","All-rounders","9"
"M. LE BERRE","TotalEnergies","All-rounders","9"
"E. VERSTRYNGE","Alpecin-Premier Tech","All-rounders","9"
"M. VERCHER","TotalEnergies","All-rounders","9"
"B. VAN MOER","Pinarello-Q.36.5 Pro Cycling Team","All-rounders","9"
"S. QUINN","EF Education - Easypost","All-rounders","9"
"X. MEURISSE","Pinarello-Q.36.5 Pro Cycling Team","Climbers","9"
"C. RUSSO","Groupama-FDJ United","All-rounders","9"
"T. SKUJINS","Lidl-Trek","All-rounders","9"
"M. TEUNISSEN","XDS Astana Team","Sprinters","9"
"N. VINOKUROV","XDS Astana Team","All-rounders","8"
"J. DELBOVE","TotalEnergies","All-rounders","8"
"D. HOWSON","Pinarello-Q.36.5 Pro Cycling Team","Climbers","8"
"M. FRIGO","NSN Cycling Team","Climbers","8"
"M. HEßMANN","Movistar Team","All-rounders","8"
"L. CRAPS","Lotto Intermarché","All-rounders","8"
"H. ARTZ","Lotto Intermarché","All-rounders","8"
"L. GERMANI","Groupama-FDJ United","All-rounders","8"
"J. OTRUBA","Caja Rural-Seguros RGA","All-rounders","8"
"S. BERWICK","Caja Rural-Seguros RGA","Climbers","8"
"V. VAN MECHELEN","Bahrain Victorious","All-rounders","8"
"E. PLANCKAERT","Alpecin-Premier Tech","All-rounders","8"
"C. BRAZ AFONSO","Groupama-FDJ United","Climbers","8"
"A. SKAARSETH","Uno-X Mobility","All-rounders","8"
"S. OLDANI","Caja Rural-Seguros RGA","Sprinters","8"
"J. TRATNIK","Red Bull - BORA - hansgrohe","All-rounders","8"
"M. HALLER","Tudor Pro Cycling Team","All-rounders","8"
"A. CHARMIG","Uno-X Mobility","Climbers","8"
"N. OLIVEIRA","Movistar Team","All-rounders","8"
"P. EENKHOORN","Soudal Quick-Step","All-rounders","8"
"J. RICKAERT","Alpecin-Premier Tech","All-rounders","8"
"S. DILLIER","Alpecin-Premier Tech","All-rounders","8"
"N. BREUILLARD","TotalEnergies","Climbers","7"
"X. AZPARREN IRURZUN","Pinarello-Q.36.5 Pro Cycling Team","All-rounders","7"
"J. ROMO OLIVER","Movistar Team","All-rounders","7"
"N. DENZ","Red Bull - BORA - hansgrohe","All-rounders","7"
"L. VERVAEKE","Soudal Quick-Step","Climbers","7"
"L. DURBRIDGE","Team Jayco AlUla","All-rounders","7"
"M. LOUVEL","NSN Cycling Team","All-rounders","7"
"J. BIERMANS","Cofidis","All-rounders","7"
"M. WALKER","EF Education - Easypost","All-rounders","6"
"J. NICOLAU BELTRAN","Caja Rural-Seguros RGA","Climbers","6"
"A. JOHANNESSEN","Uno-X Mobility","All-rounders","6"
"N. MÄRKL","Team Picnic PostNL","All-rounders","6"
"B. VAN LERBERGHE","Soudal Quick-Step","All-rounders","6"
"J. VAN DEN BERG","Team Picnic PostNL","All-rounders","6"
"C. VERONA QUINTANILLA","Lidl-Trek","All-rounders","6"
"A. KIRSCH","Cofidis","All-rounders","6"
"P. ALLEGAERT","Cofidis","All-rounders","6"
"T. MARSMAN","Alpecin-Premier Tech","All-rounders","5"
"R. DHONDT","Team Picnic PostNL","All-rounders","5"
"K. O’BRIEN","Team Jayco AlUla","All-rounders","5"
"A. MOLENAAR","Caja Rural-Seguros RGA","All-rounders","5"
"K. GRADEK","Bahrain Victorious","All-rounders","5"
