rank,name,nationality,team,points,rider_url
270,AERTS Toon,BE,Lotto Intermarché,194.0,https://www.procyclingstats.com/rider/toon-aerts
271,LEITÃO Iúri,PT,Caja Rural - Seguros RGA,193.0,https://www.procyclingstats.com/rider/iuri-leitao
272,GARCÍA CORTINA Iván,ES,Movistar Team,192.0,https://www.procyclingstats.com/rider/ivan-garcia-cortina
273,REX Laurenz,BE,Soudal Quick-Step,192.0,https://www.procyclingstats.com/rider/laurenz-rex
274,DEBRUYNE Ramses,BE,Alpecin - Premier Tech,192.0,https://www.procyclingstats.com/rider/ramses-debruyne
275,VAN KERCKHOVE Matisse,BE,Team Visma | Lease a Bike Development,192.0,https://www.procyclingstats.com/rider/matisse-van-kerckhove
276,HEALY Ben,IE,EF Education - EasyPost,188.0,https://www.procyclingstats.com/rider/ben-healy
277,MATTHEWS Michael,AU,Team Jayco AlUla,186.0,https://www.procyclingstats.com/rider/michael-matthews
278,PAGE Hugo,FR,Cofidis,185.0,https://www.procyclingstats.com/rider/hugo-page
279,SOLER Marc,ES,UAE Team Emirates - XRG,184.0,https://www.procyclingstats.com/rider/marc-soler
280,CORT Magnus,DK,Uno-X Mobility,184.0,https://www.procyclingstats.com/rider/magnus-cort-nielsen
281,ZINGLE Axel,FR,Team Visma | Lease a Bike,184.0,https://www.procyclingstats.com/rider/axel-zingle
282,MENTEN Milan,BE,Lotto Intermarché,184.0,https://www.procyclingstats.com/rider/milan-menten
283,NYCH Artem,RU,Anicolor / Campicarn,184.0,https://www.procyclingstats.com/rider/artem-nych
284,MARIT Arne,BE,Red Bull - BORA - hansgrohe,183.0,https://www.procyclingstats.com/rider/arne-marit
285,RUSSO Clément,FR,Groupama - FDJ United,183.0,https://www.procyclingstats.com/rider/clement-russo
286,CEPEDA Jefferson Alexander,EC,EF Education - EasyPost,182.0,https://www.procyclingstats.com/rider/jefferson-alexander-cepeda
287,STORK Florian,DE,Tudor Pro Cycling Team,182.0,https://www.procyclingstats.com/rider/florian-stork
288,BENNETT George,NZ,NSN Cycling Team,182.0,https://www.procyclingstats.com/rider/george-bennett
289,DONALDSON Robert,GB,Team Jayco AlUla,182.0,https://www.procyclingstats.com/rider/robert-donaldson
290,JOHANNINK Jelle,NL,Unibet Rose Rockets,182.0,https://www.procyclingstats.com/rider/jelle-johannink
291,WITHEN PHILIPSEN Albert,DK,Lidl - Trek,182.0,https://www.procyclingstats.com/rider/albert-withen-philipsen
292,TARLING Joshua,GB,Netcompany INEOS,181.0,https://www.procyclingstats.com/rider/joshua-tarling
293,ANTUNES Tiago,PT,Efapel Cycling,180.0,https://www.procyclingstats.com/rider/tiago-antunes
294,BARCELÓ Fernando,ES,Caja Rural - Seguros RGA,178.0,https://www.procyclingstats.com/rider/fernando-barcelo
295,PARRA José Félix,ES,Caja Rural - Seguros RGA,178.0,https://www.procyclingstats.com/rider/jose-felix-parra
296,MALUCELLI Matteo,IT,XDS Astana Team,177.0,https://www.procyclingstats.com/rider/matteo-malucelli
297,HIRSCHI Marc,CH,Tudor Pro Cycling Team,177.0,https://www.procyclingstats.com/rider/marc-hirschi
298,VAN DIJKE Mick,NL,Red Bull - BORA - hansgrohe,177.0,https://www.procyclingstats.com/rider/mick-van-dijke
299,BENOOT Tiesj,BE,Decathlon CMA CGM Team,177.0,https://www.procyclingstats.com/rider/tiesj-benoot
300,WENZEL Mats,LU,Equipo Kern Pharma,175.0,https://www.procyclingstats.com/rider/mats-wenzel
301,QUARTUCCI Lorenzo,IT,Burgos Burpellet BH,173.0,https://www.procyclingstats.com/rider/lorenzo-quartucci
302,SWEENY Harry,AU,EF Education - EasyPost,172.0,https://www.procyclingstats.com/rider/harry-sweeny
303,BAGIOLI Andrea,IT,Lidl - Trek,172.0,https://www.procyclingstats.com/rider/andrea-bagioli
304,EDDY Patrick,AU,Team Brennan,171.0,https://www.procyclingstats.com/rider/patrick-eddy
305,UHLIG Henri,DE,Alpecin - Premier Tech,169.0,https://www.procyclingstats.com/rider/henri-uhlig
306,ARMIRAIL Bruno,FR,Team Visma | Lease a Bike,169.0,https://www.procyclingstats.com/rider/bruno-armirail
307,BERRADE Urko,ES,Equipo Kern Pharma,168.0,https://www.procyclingstats.com/rider/urko-berrade-fernandez
308,MIHKELS Madis,EE,EF Education - EasyPost,167.0,https://www.procyclingstats.com/rider/madis-mihkels
309,QUINN Sean,US,EF Education - EasyPost,167.0,https://www.procyclingstats.com/rider/sean-quinn
310,DÍAZ José Manuel,ES,Burgos Burpellet BH,167.0,https://www.procyclingstats.com/rider/jose-manuel-diaz-gallego
311,BOL Cees,NL,Decathlon CMA CGM Team,166.0,https://www.procyclingstats.com/rider/cees-bol
312,COVILI Luca,IT,Bardiani CSF 7 Saber,164.0,https://www.procyclingstats.com/rider/luca-covili
313,AGIRRE Jon,ES,Euskaltel - Euskadi,163.0,https://www.procyclingstats.com/rider/jon-agirre
314,DELBOVE Joris,FR,TotalEnergies,163.0,https://www.procyclingstats.com/rider/joris-delbove
315,HATHERLY Alan,ZA,Team Jayco AlUla,162.0,https://www.procyclingstats.com/rider/alan-hatherly
316,SALBY Alexander,DK,Li Ning Star,161.0,https://www.procyclingstats.com/rider/alexander-salby
317,HERRADA Jesús,ES,Burgos Burpellet BH,160.0,https://www.procyclingstats.com/rider/jesus-herrada-lopez
318,TEUTENBERG Tim Torn,DE,Lidl - Trek,159.0,https://www.procyclingstats.com/rider/tim-torn-teutenberg
319,BAUHAUS Phil,DE,Bahrain - Victorious,158.0,https://www.procyclingstats.com/rider/phil-bauhaus
320,GATE Aaron,NZ,XDS Astana Team,157.0,https://www.procyclingstats.com/rider/aaron-gate
321,SCHIFFER Anton,DE,Team Visma | Lease a Bike,157.0,https://www.procyclingstats.com/rider/anton-schiffer
322,TURCONI Filippo,IT,Bardiani CSF 7 Saber,156.0,https://www.procyclingstats.com/rider/filippo-turconi
323,ERŽEN Žak,SI,Bahrain - Victorious,155.0,https://www.procyclingstats.com/rider/zak-erzen
324,FRIGO Marco,IT,NSN Cycling Team,155.0,https://www.procyclingstats.com/rider/marco-frigo
325,TSISHKOU Raman,BY,Li Ning Star,155.0,https://www.procyclingstats.com/rider/raman-tsishkou
326,BRAET Vito,BE,Lotto Intermarché,154.0,https://www.procyclingstats.com/rider/vito-braet
327,BUSATTO Francesco,IT,Alpecin - Premier Tech,153.0,https://www.procyclingstats.com/rider/francesco-busatto
328,FABBRO Matteo,IT,Solution Tech NIPPO Rali,153.0,https://www.procyclingstats.com/rider/matteo-fabbro
329,JOHANSEN Julius,DK,UAE Team Emirates - XRG,152.0,https://www.procyclingstats.com/rider/julius-johansen
330,KELDERMAN Wilco,NL,Team Visma | Lease a Bike,152.0,https://www.procyclingstats.com/rider/wilco-kelderman
331,PEDERSEN Henrik,DK,Uno-X Mobility,151.0,https://www.procyclingstats.com/rider/henrik-pedersen
332,OLDANI Stefano,IT,Caja Rural - Seguros RGA,150.0,https://www.procyclingstats.com/rider/stefano-oldani
333,HUERTAS Jason Andrey,CR,,150.0,https://www.procyclingstats.com/rider/jason-huertas
334,PLOWRIGHT Jensen,AU,Alpecin - Premier Tech,149.0,https://www.procyclingstats.com/rider/jensen-plowright
335,TONEATTI Davide,IT,XDS Astana Team,149.0,https://www.procyclingstats.com/rider/davide-toneatti
336,MÜLLER Tobias,DE,Unibet Rose Rockets,148.0,https://www.procyclingstats.com/rider/tobias-muller1
337,BONNET Thomas,FR,TotalEnergies,146.0,https://www.procyclingstats.com/rider/thomas-bonnet
338,MAGAGNOTTI Alessio,IT,Red Bull - BORA - hansgrohe Rookies,146.0,https://www.procyclingstats.com/rider/alessio-magagnotti
